experiment,model,fold,child_run_id,heldout_rows,unique_patches
Experiment 1,DenseNet-121,3,dd48ea5b9e3449fd92e017d815acf983,627,627
Experiment 2,DenseNet-121,3,4f216e3249cd4496a5baf5d9e1d91428,626,626
