pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,3,0.3622572545293913,1263.8725517303888,0.0,0.5422897037178036,0.0,45,45.0,102,102.0,2.2666666666666666,2.2666666666666666,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,1263.8725517303888,0.5422897037178036,45,2.2666666666666666,True
2,2,0.3622572545293913,2284.232831029401,0.0,0.5297701511828922,0.0,100,100.0,103,103.0,1.03,1.03,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,2284.232831029401,0.5297701511828922,100,1.03,True
2,4,0.3622572545293913,821.406272107346,0.1060012900026482,0.5104594855984683,0.0009490962293542,34,34.4,69,68.6,2.0294117647058822,1.9947899159663869,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,821.406272107346,0.5104594855984683,34,2.0294117647058822,True
2,5,0.3622572545293913,590.294896524427,0.058378144574072,0.4933221050288582,0.0010236651135241,22,22.8,69,68.2,3.090909090909091,2.992094861660079,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,590.294896524427,0.4933221050288582,22,3.090909090909091,True
3,2,0.4297990422223793,3252.9177249866407,0.0,0.4419436728557837,0.0,100,100.0,103,103.0,1.03,1.03,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,3252.9177249866407,0.4419436728557837,100,1.03,True
3,3,0.4297990422223793,2217.207959722293,0.0,0.4404547028569011,0.0,47,47.0,102,102.0,2.1702127659574466,2.1702127659574466,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,2217.207959722293,0.4404547028569011,47,2.1702127659574466,True
2,6,0.3622572545293913,502.28152922064857,0.7336146437484656,0.4371791633143432,0.0224451704063934,17,21.2,68,49.6,4.0,2.4185770750988143,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,502.28152922064857,0.4371791633143432,17,4.0,True
2,8,0.3622572545293913,364.7694563543188,0.4613549376578966,0.4225633710269462,0.0019674090280732,6,8.0,40,40.0,6.666666666666667,5.165079365079365,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,364.7694563543188,0.4225633710269462,6,6.666666666666667,False
2,7,0.3622572545293913,415.560255958791,0.4742220301679299,0.4107435734469463,0.0022627431596057,17,17.0,42,41.2,2.4705882352941178,2.4235294117647057,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,415.560255958791,0.4107435734469463,17,2.4705882352941178,True
2,9,0.3622572545293913,331.30606945536624,5.116799808303759,0.4045821987794211,0.0082387675423236,6,7.8,40,38.0,6.666666666666667,4.972222222222222,5,efficientnet_b0,EfficientNet B0,results/phase2/tuning/phase2_all_results_efficientnet_b0_averaged.csv,331.30606945536624,0.4045821987794211,6,6.666666666666667,False
