pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.37208488441910786,4820.960988212767,0.452794278996186,97,106,1.092783505154639,2,43
2,3,0.37208488441910786,2621.7855192716615,0.497783100971757,57,79,1.3859649122807018,2,43
2,4,0.37208488441910786,1511.0099464208565,0.5362036496362029,39,66,1.6923076923076923,2,43
2,5,0.37208488441910786,1204.7330116583487,0.46959709357693247,31,51,1.6451612903225807,2,43
2,6,0.37208488441910786,978.0668004743109,0.4357710326427621,27,46,1.7037037037037037,2,43
2,7,0.37208488441910786,797.5056360452948,0.4295300064391924,16,43,2.6875,2,43
2,8,0.37208488441910786,664.6122730944742,0.41653886041246585,17,41,2.411764705882353,2,43
2,9,0.37208488441910786,605.5080892989923,0.38132888851022906,16,27,1.6875,2,43
3,2,0.44998839388574596,6636.64941908967,0.3768932972593395,97,106,1.092783505154639,2,43
3,3,0.44998839388574596,4462.279512802828,0.389507816843299,59,79,1.3389830508474576,2,43
3,4,0.44998839388574596,3309.678388318532,0.4068076531648811,36,66,1.8333333333333333,2,43
3,5,0.44998839388574596,2682.0500603892015,0.40185856230423933,27,63,2.3333333333333335,2,43
3,6,0.44998839388574596,2348.062102133531,0.34889200374076407,22,49,2.227272727272727,2,43
3,7,0.44998839388574596,2048.3279991795525,0.3353493947018975,20,36,1.8,2,43
3,8,0.44998839388574596,1771.43771559566,0.34834398001664807,16,42,2.625,2,43
3,9,0.44998839388574596,1561.3980930638174,0.360026258036335,15,32,2.1333333333333333,2,43
4,2,0.5186127218327689,8285.432592338258,0.32576269637316096,97,106,1.092783505154639,2,43
4,3,0.5186127218327689,6050.1655306794855,0.33139119216954055,61,79,1.2950819672131149,2,43
4,4,0.5186127218327689,4894.6878330863665,0.3326756539577319,37,65,1.7567567567567568,2,43
4,5,0.5186127218327689,4257.572587353137,0.3358706955400598,24,64,2.6666666666666665,2,43
4,6,0.5186127218327689,3814.996790328108,0.29450561339792686,11,51,4.636363636363637,2,43
4,7,0.5186127218327689,3337.2408241179946,0.27832916873326685,20,37,1.85,2,43
4,8,0.5186127218327689,3022.0905642622365,0.2787808906474551,16,37,2.3125,2,43
4,9,0.5186127218327689,2709.3713091573213,0.2857125157466856,14,35,2.5,2,43
5,2,0.5666520217657991,9439.719259333047,0.2974761294609508,97,106,1.092783505154639,2,43
5,3,0.5666520217657991,7190.974016993412,0.2928969646792337,57,79,1.3859649122807018,2,43
5,4,0.5666520217657991,6026.169332898224,0.2952270271884363,36,66,1.8333333333333333,2,43
5,5,0.5666520217657991,5338.787278117981,0.29065582421904507,25,63,2.52,2,43
5,6,0.5666520217657991,4751.080625411104,0.28488689003141104,15,54,3.6,2,43
5,7,0.5666520217657991,4236.40096860344,0.28018941082420906,18,49,2.7222222222222223,2,43
5,8,0.5666520217657991,3809.023291619118,0.26046398475660093,18,34,1.8888888888888888,2,43
5,9,0.5666520217657991,3467.9669175548643,0.2708597497408038,16,34,2.125,2,43
6,2,0.6056890430943889,10371.356881902742,0.28176269468313436,100,103,1.03,2,43
6,3,0.6056890430943889,8117.640228022656,0.2688656483764845,57,80,1.4035087719298245,2,43
6,4,0.6056890430943889,6861.229490614634,0.27463837236661925,36,66,1.8333333333333333,2,43
6,5,0.6056890430943889,6182.89562773702,0.265203337521522,24,63,2.625,2,43
6,6,0.6056890430943889,5470.667505324861,0.2707384496632401,22,54,2.4545454545454546,2,43
6,7,0.6056890430943889,5015.214293562893,0.2601733956195166,19,55,2.8947368421052633,2,43
6,8,0.6056890430943889,4596.267906933397,0.2456412074507725,13,41,3.1538461538461537,2,43
6,9,0.6056890430943889,4251.674377713937,0.24204716793127817,17,32,1.8823529411764706,2,43
7,2,0.6337977775228243,11046.301933851704,0.26917374233484853,100,103,1.03,2,43
7,3,0.6337977775228243,8757.924369997392,0.2574702124270043,59,79,1.3389830508474576,2,43
7,4,0.6337977775228243,7374.311473802034,0.2726856123001734,37,66,1.7837837837837838,2,43
7,5,0.6337977775228243,6632.355305592935,0.2745500496594603,21,66,3.142857142857143,2,43
7,6,0.6337977775228243,6054.434273974539,0.2517851632061618,22,55,2.5,2,43
7,7,0.6337977775228243,5572.015830634586,0.2271011789870832,18,38,2.111111111111111,2,43
7,8,0.6337977775228243,5114.443560359703,0.22861426800762552,10,43,4.3,2,43
7,9,0.6337977775228243,4792.290728560086,0.21993346239212463,10,34,3.4,2,43
8,2,0.6565075563466212,11591.822877673249,0.25884089985452396,100,103,1.03,2,43
8,3,0.6565075563466212,9303.009777860007,0.245503346452575,59,79,1.3389830508474576,2,43
8,4,0.6565075563466212,7909.897939817989,0.2599751945296809,37,66,1.7837837837837838,2,43
8,5,0.6565075563466212,7164.46653372509,0.2610269321455144,22,66,3.0,2,43
8,6,0.6565075563466212,6588.287733703399,0.23833243453097117,22,55,2.5,2,43
8,7,0.6565075563466212,6080.274784934037,0.22046180754780784,20,39,1.95,2,43
8,8,0.6565075563466212,5606.185087957472,0.22327536641737714,12,41,3.4166666666666665,2,43
8,9,0.6565075563466212,5254.027169327551,0.22160414194913652,12,41,3.4166666666666665,2,43
10,2,0.6929631681126316,12466.897683975778,0.2441703683396331,100,103,1.03,2,43
10,3,0.6929631681126316,10179.021288719716,0.23229676278401748,61,79,1.2950819672131149,2,43
10,4,0.6929631681126316,8769.313652486104,0.2421167839833853,37,66,1.7837837837837838,2,43
10,5,0.6929631681126316,8020.931930690347,0.24150275868597723,22,66,3.0,2,43
10,6,0.6929631681126316,7414.218795584869,0.21599706771757238,22,50,2.272727272727273,2,43
10,7,0.6929631681126316,6915.672720281494,0.1910896954945364,20,39,1.95,2,43
10,8,0.6929631681126316,6430.4531408426465,0.20618069367284897,10,39,3.9,2,43
10,9,0.6929631681126316,6061.115345745549,0.19837601124062978,13,36,2.769230769230769,2,43
12,2,0.7251182210794749,13238.223763120062,0.23342194962680302,100,103,1.03,2,43
12,3,0.7251182210794749,10912.225317139448,0.21967235534179147,58,79,1.3620689655172413,2,43
12,4,0.7251182210794749,9465.245580444702,0.23192086183669938,36,67,1.8611111111111112,2,43
12,5,0.7251182210794749,8722.693151638614,0.2244485313441269,21,67,3.1904761904761907,2,43
12,6,0.7251182210794749,8072.052633433369,0.20727298716341971,22,50,2.272727272727273,2,43
12,7,0.7251182210794749,7600.437474889802,0.1869293662814645,20,38,1.9,2,43
12,8,0.7251182210794749,7094.347113742873,0.1873134895332655,17,34,2.0,2,43
12,9,0.7251182210794749,6680.284138814717,0.18131682844266073,13,29,2.230769230769231,2,43
15,2,0.7611350355349755,14101.392350359885,0.22144227343369194,100,103,1.03,2,43
15,3,0.7611350355349755,11790.58183986216,0.20859767134744892,61,79,1.2950819672131149,2,43
15,4,0.7611350355349755,10321.804836245063,0.21677071734775785,36,67,1.8611111111111112,2,43
15,5,0.7611350355349755,9532.393581064378,0.21682417570871243,21,67,3.1904761904761907,2,43
15,6,0.7611350355349755,8908.891581963351,0.20487529642523636,19,55,2.8947368421052633,2,43
15,7,0.7611350355349755,8365.428375888841,0.19587760116317898,11,51,4.636363636363637,2,43
15,8,0.7611350355349755,7864.37373667093,0.172489807173112,14,34,2.4285714285714284,2,43
15,9,0.7611350355349755,7474.176842236879,0.17969720746204168,13,43,3.3076923076923075,2,43
18,2,0.7913380969185181,14825.617145496557,0.21305583514935,100,103,1.03,2,43
18,3,0.7913380969185181,12495.16815018671,0.19795321999298718,58,81,1.396551724137931,2,43
18,4,0.7913380969185181,11039.203955619278,0.20566556127604094,36,67,1.8611111111111112,2,43
18,5,0.7913380969185181,10239.714704195349,0.20525502697016623,22,67,3.0454545454545454,2,43
18,6,0.7913380969185181,9568.82209102068,0.18969877829461843,21,49,2.3333333333333335,2,43
18,7,0.7913380969185181,9105.27371493807,0.1819187337273661,15,49,3.2666666666666666,2,43
18,8,0.7913380969185181,8575.791148901428,0.16514285495549624,19,37,1.9473684210526316,2,43
18,9,0.7913380969185181,8209.309530279505,0.15787981621035746,9,41,4.555555555555555,2,43
20,2,0.8078628927709965,15221.834523850179,0.20875196007728852,100,103,1.03,2,43
20,3,0.8078628927709965,12905.327947480975,0.19463563187111985,61,79,1.2950819672131149,2,43
20,4,0.8078628927709965,11429.883701552244,0.2009313975622623,36,67,1.8611111111111112,2,43
20,5,0.8078628927709965,10632.805499799097,0.19919987617113066,22,67,3.0454545454545454,2,43
20,6,0.8078628927709965,9977.249504879463,0.17621861667021976,22,48,2.1818181818181817,2,43
20,7,0.8078628927709965,9474.630405054662,0.17451648054734792,11,55,5.0,2,43
20,8,0.8078628927709965,8963.207896401185,0.16711062025040146,11,44,4.0,2,43
20,9,0.8078628927709965,8551.952125542512,0.15901762196505387,14,42,3.0,2,43
25,2,0.8388743105473394,15966.789580679817,0.20064741762634214,100,103,1.03,2,43
25,3,0.8388743105473394,13639.746522957506,0.18258652789777494,55,81,1.4727272727272727,2,43
25,4,0.8388743105473394,12162.86544370633,0.19095175048065072,36,67,1.8611111111111112,2,43
25,5,0.8388743105473394,11358.781710312402,0.18965961312473575,22,67,3.0454545454545454,2,43
25,6,0.8388743105473394,10706.204574746382,0.1682418581394215,22,48,2.1818181818181817,2,43
25,7,0.8388743105473394,10210.693774275085,0.14899101290810718,20,38,1.9,2,43
25,8,0.8388743105473394,9678.142120786599,0.15153980464001576,14,34,2.4285714285714284,2,43
25,9,0.8388743105473394,9338.229845474263,0.14685363665889262,10,37,3.7,2,43
30,2,0.8615895367137849,16512.395313734625,0.1952123786134123,100,103,1.03,2,43
30,3,0.8615895367137849,14192.167742164895,0.17960520160469706,61,79,1.2950819672131149,2,43
30,4,0.8615895367137849,12705.927915703787,0.18435001259707476,36,67,1.8611111111111112,2,43
30,5,0.8615895367137849,11904.884760503237,0.18305426368446737,23,67,2.9130434782608696,2,43
30,6,0.8615895367137849,11243.655600963508,0.1623385965235192,22,48,2.1818181818181817,2,43
30,7,0.8615895367137849,10764.228777776998,0.15638891436820018,18,47,2.611111111111111,2,43
30,8,0.8615895367137849,10284.879364824967,0.16005025643854967,14,49,3.5,2,43
30,9,0.8615895367137849,9811.717469990384,0.14923264232957328,10,34,3.4,2,43
