pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run
2,2,0.6567979739756211,11.71143775379616,0.8001246498990152,3
2,3,0.6567979739756211,1.3881525968793706,0.8011340217996813,3
2,4,0.6567979739756211,0.8807436371768751,0.6803472351843205,3
2,5,0.6567979739756211,0.5340176673269492,0.62015367694879,3
2,6,0.6567979739756211,0.39866643487873876,0.6023653331850484,3
2,7,0.6567979739756211,0.30105540742220155,0.535418029993304,3
2,8,0.6567979739756211,0.2641611440592565,0.5028886113888984,3
2,9,0.6567979739756211,0.2279305844433711,0.4904537314865004,3
3,2,0.7196331588185736,16.590776986734753,0.7423777253092203,3
3,3,0.7196331588185736,6.037778201924502,0.6435728639423066,3
3,4,0.7196331588185736,4.293928859908095,0.5739349410264057,3
3,5,0.7196331588185736,2.5863345305984313,0.5443583029340942,3
3,6,0.7196331588185736,1.9926563474481298,0.5328739341553357,3
3,7,0.7196331588185736,1.5040945631699159,0.5106661422632032,3
3,8,0.7196331588185736,1.2877508625777803,0.5038084314794765,3
3,9,0.7196331588185736,1.1098562993694774,0.4837394716368092,3
4,2,0.7647643783463383,20.102398066660108,0.707325679132334,3
4,3,0.7647643783463383,9.481368773329645,0.5590992780969125,3
4,4,0.7647643783463383,7.556029458840436,0.48929543528221003,3
4,5,0.7647643783463383,5.754287898496489,0.44179017681958466,3
4,6,0.7647643783463383,4.695682564983685,0.44473412659112765,3
4,7,0.7647643783463383,3.7599222880530574,0.4432693067603943,3
4,8,0.7647643783463383,3.1876184328338053,0.45560420975900806,3
4,9,0.7647643783463383,2.799628893121355,0.4508591445298956,3
5,2,0.7997065280273455,22.82202188103638,0.6831866340801707,3
5,3,0.7997065280273455,12.194342994114262,0.5068237424610402,3
5,4,0.7997065280273455,10.181114870430486,0.43681743717898913,3
5,5,0.7997065280273455,8.288621491750218,0.38451937252111645,3
5,6,0.7997065280273455,7.204424823354734,0.38392672099051195,3
5,7,0.7997065280273455,6.227471217734383,0.38158101245022613,3
5,8,0.7997065280273455,5.5634046081500985,0.3875231162607529,3
5,9,0.7997065280273455,4.934822804162467,0.39585381039558415,3
6,2,0.8176844207048383,24.22110877532059,0.6719880770416407,3
6,3,0.8176844207048383,13.592017211312044,0.4850989405094248,3
6,4,0.8176844207048383,11.53172460141078,0.4125543653557492,3
6,5,0.8176844207048383,9.63799675826934,0.36603251697342126,3
6,6,0.8176844207048383,8.535384100120522,0.36061938393926746,3
6,7,0.8176844207048383,7.541684047491534,0.3623820938973964,3
6,8,0.8176844207048383,6.82800327432614,0.3623567399824458,3
6,9,0.8176844207048383,6.180245163093332,0.36792842815045934,3
7,2,0.8339282962269322,25.48434581105115,0.6625648835353466,3
7,3,0.8339282962269322,14.852769581434577,0.46866886506615335,3
7,4,0.8339282962269322,12.78172430448062,0.3960783470725648,3
7,5,0.8339282962269322,10.847763637283895,0.3502959623809291,3
7,6,0.8339282962269322,9.609141439656174,0.3494639473672365,3
7,7,0.8339282962269322,8.625452580426522,0.34884920361587024,3
7,8,0.8339282962269322,7.916916135724311,0.34399103425265354,3
7,9,0.8339282962269322,7.2467703107608665,0.345679670136242,3
8,2,0.8481318952597863,26.589782738602356,0.654574212922984,3
8,3,0.8481318952597863,15.957318512700056,0.45511784944648953,3
8,4,0.8481318952597863,13.885940732262192,0.3829563179277374,3
8,5,0.8481318952597863,11.949259693147265,0.3348678899916844,3
8,6,0.8481318952597863,10.691112676916141,0.3355170574079014,3
8,7,0.8481318952597863,9.641014204571253,0.3332348235072557,3
8,8,0.8481318952597863,8.914156635555585,0.3322519804166107,3
8,9,0.8481318952597863,8.25909635140383,0.331197135791478,3
10,2,0.8695990924644822,28.260635404671063,0.6430358522546424,3
10,3,0.8695990924644822,17.62667276358118,0.43690836762615637,3
10,4,0.8695990924644822,15.472140902212798,0.3706738451102126,3
10,5,0.8695990924644822,13.466676460490222,0.32410634889642065,3
10,6,0.8695990924644822,12.117735222696973,0.3248768871793723,3
10,7,0.8695990924644822,11.076978921722402,0.31827270106817546,3
10,8,0.8695990924644822,10.49311367179871,0.31637709994537094,3
10,9,0.8695990924644822,9.701743923448268,0.3176912389251403,3
12,2,0.8869365052223619,29.609675627374244,0.6342033761330232,3
12,3,0.8869365052223619,18.97479525799741,0.4243624962233686,3
12,4,0.8869365052223619,16.794353993904256,0.3630433292684556,3
12,5,0.8869365052223619,14.757835804696958,0.318773739343871,3
12,6,0.8869365052223619,13.389941335014617,0.3151584816857124,3
12,7,0.8869365052223619,12.332621629868509,0.306918020992997,3
12,8,0.8869365052223619,11.603546108335347,0.3039560740834979,3
12,9,0.8869365052223619,10.87538304763491,0.30564270000010435,3
15,2,0.9053371063142984,31.041825171236653,0.6253558025500584,3
15,3,0.9053371063142984,20.405465505126063,0.4122013550039251,3
15,4,0.9053371063142984,18.184316737515914,0.3535591574983438,3
15,5,0.9053371063142984,16.135872988698814,0.30526664316860375,3
15,6,0.9053371063142984,14.765327338583727,0.302852422332126,3
15,7,0.9053371063142984,13.705503949370927,0.2940486886982835,3
15,8,0.9053371063142984,13.057912346843102,0.29345347363129864,3
15,9,0.9053371063142984,12.365933350450934,0.2874162131778219,3
18,2,0.9190213430001689,32.106882884053036,0.6188449830965606,3
18,3,0.9190213430001689,21.47009916941052,0.4034166704590968,3
18,4,0.9190213430001689,19.244077779194573,0.3457211278310336,3
18,5,0.9190213430001689,17.177766048134586,0.2984124502640163,3
18,6,0.9190213430001689,15.806642563283406,0.29795386557813636,3
18,7,0.9190213430001689,14.697999337261756,0.28579999264083833,3
18,8,0.9190213430001689,13.885195209994215,0.2877018414986548,3
18,9,0.9190213430001689,13.157897818016156,0.29022539366131184,3
20,2,0.9261304036282976,32.66020012965517,0.6155591802860735,3
20,3,0.9261304036282976,22.02283846783024,0.3992721375487132,3
20,4,0.9261304036282976,19.791089183596586,0.34227943521653525,3
20,5,0.9261304036282976,17.735787654244618,0.29375889495328805,3
20,6,0.9261304036282976,16.342875846469077,0.2908115761573894,3
20,7,0.9261304036282976,15.225683546699301,0.28225519593931186,3
20,8,0.9261304036282976,14.412005732016492,0.2868621207839415,3
20,9,0.9261304036282976,13.596064980251478,0.29315526473511383,3
25,2,0.9401890075651907,33.75440591916654,0.6092230886875679,3
25,3,0.9401890075651907,23.11674372557507,0.3913872161653238,3
25,4,0.9401890075651907,20.878937310432576,0.3361863470086891,3
25,5,0.9401890075651907,18.81419960203567,0.28656215002063024,3
25,6,0.9401890075651907,17.439517100725396,0.2867485372803196,3
25,7,0.9401890075651907,16.29509933468161,0.27792573916520136,3
25,8,0.9401890075651907,15.371549005487914,0.27975059055165263,3
25,9,0.9401890075651907,14.636486380229146,0.2855564454680109,3
30,2,0.9504711618683203,34.554695831081354,0.6046194492040886,3
30,3,0.9504711618683203,23.916729288459138,0.3856691216698479,3
30,4,0.9504711618683203,21.67861677718571,0.3304767051498645,3
30,5,0.9504711618683203,19.6013893052886,0.28465805395593363,3
30,6,0.9504711618683203,18.215753345634273,0.2805206424171,3
30,7,0.9504711618683203,17.111073969353622,0.268744837746568,3
30,8,0.9504711618683203,16.203713946943644,0.2745815978496681,3
30,9,0.9504711618683203,15.648823746879216,0.25494200741843864,3
