pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
2,2,0.37208488441910786,4820.960988212767,0.0,0.45279427899618596,0.0,97,97.0,106,106.0,1.092783505154639,1.092783505154639,5
2,3,0.37208488441910786,2621.7855192716615,0.0,0.497783100971757,0.0,57,57.0,79,79.0,1.3859649122807018,1.3859649122807018,5
2,4,0.37208488441910786,1511.0099464208565,0.0,0.5362036496362029,0.0,39,39.0,66,66.0,1.6923076923076923,1.6923076923076923,5
2,5,0.37208488441910786,1205.6819217753944,1.668052177622715,0.4693246517246233,0.0032019280836577055,28,30.4,51,51.0,1.8214285714285714,1.680414746543779,5
2,6,0.37208488441910786,978.9990615505249,1.0792962526765761,0.444589297746176,0.010104437256637348,20,24.0,49,47.2,2.45,2.0061481481481485,5
2,7,0.37208488441910786,798.8231398237027,2.7284401064248875,0.4281493488213819,0.0019208135150732282,16,18.0,44,42.4,2.6875,2.3931232492997196,5
2,8,0.37208488441910786,665.0159953191297,0.6340716790101413,0.41677964892808406,0.00022735203332604643,16,16.8,41,41.0,2.5625,2.4452614379084965,5
2,9,0.37208488441910786,604.1817998869872,4.077687671763884,0.40416414431287073,0.014011048076574573,6,11.6,41,36.4,6.833333333333333,3.6041666666666665,5
3,2,0.44998839388574596,6636.64941908967,0.0,0.3768932972593395,0.0,97,97.0,106,106.0,1.092783505154639,1.092783505154639,5
3,3,0.44998839388574596,4462.279512802828,0.0,0.389507816843299,0.0,59,59.0,79,79.0,1.3389830508474576,1.3389830508474576,5
3,4,0.44998839388574596,3309.678388318532,0.0,0.4068076531648811,0.0,36,36.0,66,66.0,1.8333333333333333,1.8333333333333333,5
3,5,0.44998839388574596,2682.0500603892015,0.0,0.40185856230423933,0.0,27,27.0,63,63.0,2.3333333333333335,2.3333333333333335,5
3,6,0.44998839388574596,2347.765681052321,0.8902209711609825,0.34879714264459893,0.0005477743227180538,22,22.0,49,49.0,2.227272727272727,2.227272727272727,5
3,7,0.44998839388574596,2054.766906752534,7.113341523105371,0.33325853432895103,0.0013893538414308125,20,20.0,40,38.2,2.0,1.9099999999999997,5
3,8,0.44998839388574596,1772.544448508152,5.774514476412478,0.3482670670780945,0.001656175677994952,16,17.4,42,37.6,2.625,2.187156862745098,5
3,9,0.44998839388574596,1565.4735736844384,7.01824404547406,0.35782204183252364,0.002566435841067437,15,15.4,32,31.8,2.1333333333333333,2.0675,5
4,2,0.5186127218327689,8285.432592338258,0.0,0.32576269637316096,0.0,97,97.0,106,106.0,1.092783505154639,1.092783505154639,5
4,3,0.5186127218327689,6050.1655306794855,0.0,0.33139119216954055,0.0,61,61.0,79,79.0,1.2950819672131149,1.2950819672131149,5
4,4,0.5186127218327689,4894.08389886454,0.551313994239059,0.33372371075247437,0.0009567405800449923,37,37.0,66,65.6,1.7837837837837838,1.772972972972973,5
4,5,0.5186127218327689,4264.682743816401,9.452806777900452,0.332936507002537,0.005056593261498722,22,23.8,65,64.0,2.8636363636363638,2.693060606060606,5
