pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run
2,2,0.3901074812949868,4808.3285710639975,0.5353185921136918,2
2,3,0.3901074812949868,1321.6997614284412,0.7045628041282723,2
2,4,0.3901074812949868,1034.8911176669242,0.5712780134396556,2
2,5,0.3901074812949868,770.8767750589961,0.4501849767889257,2
2,6,0.3901074812949868,622.1776177921275,0.4620553328079615,2
2,7,0.3901074812949868,518.3881307051681,0.4486701490116058,2
2,8,0.3901074812949868,461.3782026128648,0.4522238286513861,2
2,9,0.3901074812949868,400.1291410345969,0.4277257024295711,2
3,2,0.4677568309265041,6800.088461544042,0.4349329149475741,2
3,3,0.4677568309265041,3282.2585422279963,0.5781426438524588,2
3,4,0.4677568309265041,2317.164697970591,0.5448685362056744,2
3,5,0.4677568309265041,1734.6254111277683,0.4965508838797382,2
3,6,0.4677568309265041,1474.5993824277816,0.46771328361878894,2
3,7,0.4677568309265041,1238.8932591498824,0.4466182467757893,2
3,8,0.4677568309265041,1056.8601901874604,0.44571318752219935,2
3,9,0.4677568309265041,975.8830250541056,0.4321386783765685,2
4,2,0.5269781794101173,8320.652783141968,0.38311872012450343,2
4,3,0.5269781794101173,4795.378044733905,0.5106091899432879,2
4,4,0.5269781794101173,3731.320714925038,0.48776493486579964,2
4,5,0.5269781794101173,3084.871919435422,0.49125618911802144,2
4,6,0.5269781794101173,2517.1336492742635,0.43329848518449476,2
4,7,0.5269781794101173,2265.2417007932895,0.4124420630656852,2
4,8,0.5269781794101173,2078.8203203879775,0.38924344240369635,2
4,9,0.5269781794101173,1871.4146364440746,0.3921911144211212,2
5,2,0.5725063185982063,9465.224925191533,0.3543981974918399,2
5,3,0.5725063185982063,5923.448939224086,0.4747043962239468,2
5,4,0.5725063185982063,4844.884568362896,0.44517550163844777,2
5,5,0.5725063185982063,4016.034106244653,0.40293797565882844,2
5,6,0.5725063185982063,3375.453324976205,0.4064850004423687,2
5,7,0.5725063185982063,2978.450932345701,0.40011907361895616,2
5,8,0.5725063185982063,2726.473799093387,0.38275432715753255,2
5,9,0.5725063185982063,2527.699274168849,0.3701172256472704,2
6,2,0.6095356247418692,10415.916852710487,0.33281246239418416,2
6,3,0.6095356247418692,6840.647583853181,0.4506076236811258,2
6,4,0.6095356247418692,5702.998780676817,0.42089309813137304,2
6,5,0.6095356247418692,4790.98361844769,0.38708424565942373,2
6,6,0.6095356247418692,4121.647535053714,0.3860164376686268,2
6,7,0.6095356247418692,3477.4522094092854,0.4003947819701441,2
6,8,0.6095356247418692,3231.5659224406118,0.38087629992888095,2
6,9,0.6095356247418692,2993.79662270815,0.39234917500636396,2
7,2,0.6372538353791278,11115.69560776716,0.32032675067257843,2
7,3,0.6372538353791278,7514.0834379821,0.4350959357806463,2
7,4,0.6372538353791278,6378.721397504896,0.40605509925597794,2
7,5,0.6372538353791278,5461.447549782005,0.3643565433582722,2
7,6,0.6372538353791278,4782.743251454401,0.37002700854860077,2
7,7,0.6372538353791278,4143.187839189242,0.3801821220845652,2
7,8,0.6372538353791278,3853.4017589529767,0.36305567220883633,2
7,9,0.6372538353791278,3627.067530692557,0.3571127722063665,2
8,2,0.6611080392521761,11728.594686301993,0.3077262592867821,2
8,3,0.6611080392521761,8126.043116148392,0.4186850956923665,2
8,4,0.6611080392521761,6981.267728637228,0.39049918678650286,2
8,5,0.6611080392521761,6071.257033767402,0.348348727131193,2
8,6,0.6611080392521761,5418.565535934355,0.3534786151128519,2
8,7,0.6611080392521761,4727.467690720877,0.3605282942183066,2
8,8,0.6611080392521761,4449.970527685226,0.3444551183561762,2
8,9,0.6611080392521761,4168.3043853704485,0.3352376240983066,2
10,2,0.7027397728415243,12797.80726613171,0.2884330300781652,2
10,3,0.7027397728415243,9191.362083255555,0.3941004814430716,2
10,4,0.7027397728415243,8035.1631437708975,0.3656859713074593,2
10,5,0.7027397728415243,7068.208109921017,0.3324381700116304,2
10,6,0.7027397728415243,6381.430306630058,0.33487848015306554,2
10,7,0.7027397728415243,5725.649611196566,0.33634524892415507,2
10,8,0.7027397728415243,5392.061589167236,0.3356457378433972,2
10,9,0.7027397728415243,5072.644909011935,0.3239968614414137,2
12,2,0.7313911615434103,13533.902022634242,0.2769315875294421,2
12,3,0.7313911615434103,9926.764942459607,0.3788321378943611,2
