pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette
2,2,0.3901074812949862,4808.328571050404,0.5353185921132552
2,3,0.3901074812949862,1321.699761510433,0.704562804126619
2,4,0.3901074812949862,1035.077924801121,0.5721426841218588
2,5,0.3901074812949862,770.8767752280626,0.450184976734264
2,6,0.3901074812949862,621.9710179395299,0.461635851498057
2,7,0.3901074812949862,521.1151100256308,0.44975520999179136
2,8,0.3901074812949862,459.97840984132324,0.44294484166136117
2,9,0.3901074812949862,404.87454057809276,0.4351652417544011
3,2,0.467756830926505,6800.088461208567,0.43493291356891817
3,3,0.467756830926505,3282.258543882888,0.5781426415052044
3,4,0.467756830926505,2317.164776617661,0.5448685233517316
3,5,0.467756830926505,1734.625433397201,0.4965508812334112
3,6,0.467756830926505,1474.5993899157907,0.4677132864956713
3,7,0.467756830926505,1238.921611421674,0.447522933482599
3,8,0.467756830926505,1057.2327997557463,0.4458337763098351
3,9,0.467756830926505,979.2105060490718,0.4321561250195097
4,2,0.5269781794102234,8320.652780972832,0.3831187197316631
4,3,0.5269781794102234,4795.378043628603,0.5106091898893784
4,4,0.5269781794102234,3731.320734549177,0.48776493074624777
4,5,0.5269781794102234,3084.8718747782086,0.4912561983396671
4,6,0.5269781794102234,2517.1336287059466,0.43329848607389626
4,7,0.5269781794102234,2265.574463412609,0.4128164735009032
4,8,0.5269781794102234,2063.097918381329,0.41671110529448646
4,9,0.5269781794102234,1870.36257400769,0.3881480849755965
5,2,0.5725063185991672,9465.224859168156,0.3543981985949003
5,3,0.5725063185991672,5923.44884576428,0.4747043975275898
5,4,0.5725063185991672,4844.077361599548,0.44465670114078637
5,5,0.5725063185991672,4016.526864994147,0.4026067584306762
5,6,0.5725063185991672,3375.2619791395073,0.40598986316165214
5,7,0.5725063185991672,2979.7080182564137,0.3994407701788586
5,8,0.5725063185991672,2727.508062304294,0.3829820954907616
5,9,0.5725063185991672,2512.2583018241544,0.3820433827540549
6,2,0.6095356247801084,10415.916856181158,0.3328124643884139
6,3,0.6095356247801084,6840.6475937093155,0.45060762005853183
