pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run,random_state
2,2,0.37208488441910786,4820.960988212767,0.452794278996186,1,42
2,3,0.37208488441910786,2621.7855192716615,0.497783100971757,1,42
2,4,0.37208488441910786,1511.0099464208565,0.5362036496362029,1,42
2,5,0.37208488441910786,1205.6260364325667,0.47341335982201527,1,42
2,6,0.37208488441910786,978.0668004743109,0.4357710326427621,1,42
2,7,0.37208488441910786,798.0741721012328,0.4266341956836179,1,42
2,8,0.37208488441910786,664.6122730944742,0.41653886041246585,1,42
2,9,0.37208488441910786,600.1256599176393,0.40412095492303163,1,42
3,2,0.44998839388574596,6636.64941908967,0.3768932972593395,1,42
3,3,0.44998839388574596,4462.279512802828,0.389507816843299,1,42
3,4,0.44998839388574596,3309.678388318532,0.4068076531648811,1,42
3,5,0.44998839388574596,2682.0500603892015,0.40185856230423933,1,42
3,6,0.44998839388574596,2348.953007105677,0.34785063849169645,1,42
3,7,0.44998839388574596,2058.911224785679,0.33362861082988665,1,42
3,8,0.44998839388574596,1778.1533768340187,0.3478573537306819,1,42
3,9,0.44998839388574596,1562.0384050428897,0.36024047032427076,1,42
4,2,0.5186127218327689,8285.432592338258,0.32576269637316096,1,42
4,3,0.5186127218327689,6050.1655306794855,0.33139119216954055,1,42
4,4,0.5186127218327689,4894.6878330863665,0.3326756539577319,1,42
4,5,0.5186127218327689,4259.724627560953,0.33785544630009845,1,42
4,6,0.5186127218327689,3719.1874172308767,0.29936841234172945,1,42
4,7,0.5186127218327689,3370.9974907704545,0.28313983293888595,1,42
4,8,0.5186127218327689,3013.3117585309888,0.2911211789029075,1,42
4,9,0.5186127218327689,2708.1275954927805,0.2905935498688608,1,42
5,2,0.5666520217657991,9439.719259333047,0.2974761294609508,1,42
5,3,0.5666520217657991,7190.974016993412,0.2928969646792337,1,42
5,4,0.5666520217657991,6033.868462619091,0.29458522222675826,1,42
5,5,0.5666520217657991,5338.1502192238095,0.28969531217195627,1,42
5,6,0.5666520217657991,4751.000636306609,0.2721456893413279,1,42
