pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette
2,2,0.5099037337010427,9607.729018101987,0.6907187039319933
2,3,0.5099037337010427,3336.9625010186915,0.6495936166725867
2,4,0.5099037337010427,1782.6107400449648,0.57372238005334
2,5,0.5099037337010427,1252.5708450297145,0.5267525792284079
2,6,0.5099037337010427,1016.6816947595964,0.5383354786089039
2,7,0.5099037337010427,812.4194427441669,0.528771057352102
2,8,0.5099037337010427,625.8451545455928,0.5151465633736236
2,9,0.5099037337010427,530.1040689511765,0.49329630755347254
3,2,0.5869615129330292,12992.489108164058,0.6148838756408
3,3,0.5869615129330292,6708.099611466654,0.5449586963504488
3,4,0.5869615129330292,3791.01136229693,0.5528455637517771
3,5,0.5869615129330292,2976.76964868216,0.5232252830624271
3,6,0.5869615129330292,2245.536385984903,0.5092175254350934
3,7,0.5869615129330292,1939.0499729653225,0.4783937620504499
3,8,0.5869615129330292,1659.4929318899635,0.4713070834633946
3,9,0.5869615129330292,1454.0269820403823,0.48386349887805286
4,2,0.6449703443918497,15478.082990023267,0.5749431636972862
4,3,0.6449703443918497,9085.100796558283,0.49460480132114115
4,4,0.6449703443918497,6268.278242741728,0.4693257503406388
4,5,0.6449703443918497,4949.754066415713,0.4692813785563893
4,6,0.6449703443918497,4121.803228629494,0.4565819098728636
4,7,0.6449703443918497,3526.1257009283568,0.46580493233267006
4,8,0.6449703443918497,3015.871728864805,0.45670328090832096
4,9,0.6449703443918497,2592.9879070608354,0.45357541167464577
5,2,0.6849214056256818,17209.629820209673,0.5500470571781657
5,3,0.6849214056256818,10796.213422314546,0.46534278279250707
5,4,0.6849214056256818,7869.603595296942,0.43448198228206875
5,5,0.6849214056256818,6395.902765024397,0.43197681317174563
5,6,0.6849214056256818,5114.990053620638,0.4446124372468412
5,7,0.6849214056256818,4457.456718656511,0.44749507396071736
5,8,0.6849214056256818,3958.351692359349,0.42868906171553756
5,9,0.6849214056256818,3484.613668173486,0.4330431635244275
6,2,0.7120968140392063,18404.82721923961,0.5351594544628039
6,3,0.7120968140392063,11986.994574303848,0.4517918261479245
6,4,0.7120968140392063,9056.262683837365,0.4121202825875912
6,5,0.7120968140392063,7407.390685418215,0.4095796244417321
6,6,0.7120968140392063,6147.878750688453,0.4173845712979465
6,7,0.7120968140392063,5428.953941402364,0.42308926396805335
6,8,0.7120968140392063,4767.847299645569,0.42245204311008616
6,9,0.7120968140392063,4163.90219930663,0.41718761826334083
7,2,0.7344909386095205,19389.8944714576,0.5210596230379639
7,3,0.7344909386095205,12971.3753250826,0.43495762282272243
7,4,0.7344909386095205,10040.82298918998,0.39187994325216213
7,5,0.7344909386095205,8393.26344802384,0.3869269863845104
7,6,0.7344909386095205,7128.821606700262,0.39089532559249934
7,7,0.7344909386095205,6404.2272206437365,0.39381766869963114
7,8,0.7344909386095205,5765.613943960816,0.38965907079088913
7,9,0.7344909386095205,5153.754988432648,0.3836049617933936
8,2,0.7549596050852041,20288.268478303537,0.5093898364756061
8,3,0.7549596050852041,13862.512242421508,0.4227418756801488
8,4,0.7549596050852041,10936.790420559995,0.3778033464273217
8,5,0.7549596050852041,9264.908488446894,0.3712362367635876
8,6,0.7549596050852041,7962.656661192741,0.37974230022679023
8,7,0.7549596050852041,7258.9533782655835,0.3740618723134056
8,8,0.7549596050852041,6587.052151135735,0.36498499648969707
8,9,0.7549596050852041,5993.781614883739,0.36790764500077094
10,2,0.7871391490768421,21702.931989091776,0.49209995302341303
10,3,0.7871391490768421,15272.33813784648,0.40727195506917646
10,4,0.7871391490768421,12314.118884685256,0.35977954108185195
10,5,0.7871391490768421,10634.09357343616,0.3526116267002276
10,6,0.7871391490768421,9298.61847243746,0.3563930958286835
10,7,0.7871391490768421,8493.026820984654,0.3584761569882481
10,8,0.7871391490768421,7741.351547277336,0.35595057588561113
10,9,0.7871391490768421,7108.441110702648,0.34858508009941735
12,2,0.8098970028050505,22704.17232998235,0.4800457030776485
12,3,0.8098970028050505,16271.438195686458,0.3954242280231006
12,4,0.8098970028050505,13307.61752579598,0.34745979777579494
12,5,0.8098970028050505,11617.262909419911,0.33977406393641374
12,6,0.8098970028050505,10264.997699995414,0.3426043352289522
12,7,0.8098970028050505,9459.970519925666,0.34346814268955017
12,8,0.8098970028050505,8677.846292777456,0.34003486243676234
12,9,0.8098970028050505,7963.768420652197,0.33531551707412693
15,2,0.8378976595583909,23935.38106631649,0.46628789664158676
15,3,0.8378976595583909,17499.13419783545,0.3828188811982417
15,4,0.8378976595583909,14529.006121123613,0.3342234371493417
15,5,0.8378976595583909,12834.670872330036,0.3260061753958247
15,6,0.8378976595583909,11478.598170742187,0.32744044708326847
15,7,0.8378976595583909,10640.379149777837,0.3289279095503501
15,8,0.8378976595583909,9834.817884526998,0.3270670362645989
15,9,0.8378976595583909,9127.981451907628,0.3182802322674105
18,2,0.8584185646504225,24837.9590843518,0.4571668201055378
18,3,0.8584185646504225,18399.25641180965,0.37559464656267216
18,4,0.8584185646504225,15426.080367352663,0.325268392214383
18,5,0.8584185646504225,13735.041964424421,0.31630810530544595
18,6,0.8584185646504225,12385.82589128869,0.3161661238683243
18,7,0.8584185646504225,11483.739267321047,0.3238733721645851
18,8,0.8584185646504225,10703.065088987623,0.31683749758721247
18,9,0.8584185646504225,10034.795035426916,0.3076630319555617
20,2,0.8689774929383478,25302.407520386238,0.4525148771674787
20,3,0.8689774929383478,18863.628782440173,0.3716129054921269
20,4,0.8689774929383478,15886.42391240944,0.3211031738046446
20,5,0.8689774929383478,14198.624019633746,0.31198504005802363
20,6,0.8689774929383478,12833.51319504671,0.3129463074048709
20,7,0.8689774929383478,11979.420817411718,0.31301863884075604
20,8,0.8689774929383478,11178.057686607675,0.30856688642253516
20,9,0.8689774929383478,10502.091595618853,0.30430089414106337
25,2,0.8895742678614583,26208.36935141218,0.44387784987120205
25,3,0.8895742678614583,19768.64891832799,0.3643251243687953
25,4,0.8895742678614583,16784.199111538277,0.3135052479695636
25,5,0.8895742678614583,15102.672536264054,0.3046856300941375
25,6,0.8895742678614583,13721.95833470524,0.30466377530590394
25,7,0.8895742678614583,12888.653002428036,0.30384423189001125
