pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
2,2,0.45761120239885555,18985.82748950897,0.0,0.653076671873961,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
2,3,0.45761120239885555,8592.549995266272,0.0,0.663274852372222,0.0,35,35.0,101,101.0,2.8857142857142857,2.8857142857142857,5
2,4,0.45761120239885555,6606.960392165607,0.0,0.5211249639446848,0.0,25,25.0,77,77.0,3.08,3.08,5
2,5,0.45761120239885555,4899.598861631101,0.6870039278141801,0.4833238069069427,0.004474216081099314,19,19.6,77,76.4,4.052631578947368,3.9010526315789478,5
2,6,0.45761120239885555,3598.496185148667,5.544052280571525,0.4942676832547755,0.0011901686481632005,19,19.4,58,56.4,3.0526315789473686,2.908421052631579,5
2,7,0.45761120239885555,3011.69681483881,6.602973186088501,0.457587241956675,0.002285826645274756,16,16.0,58,56.6,3.625,3.5375,5
2,8,0.45761120239885555,2503.397491039182,1.176102502355918,0.4651653935620897,0.0032663120016375195,5,5.6,50,50.0,10.0,9.0,5
2,9,0.45761120239885555,2190.057802206915,51.53930524409102,0.44715890184912555,0.013352343752542949,5,5.2,50,44.0,10.0,8.526666666666667,5
3,2,0.5187827064349908,27483.627671857295,0.0,0.5720635104063981,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
3,3,0.5187827064349908,16790.71221355462,0.0,0.5639015131943091,0.0,34,34.0,102,102.0,3.0,3.0,5
3,4,0.5187827064349908,11376.968816549597,0.0,0.49140851755379966,0.0,34,34.0,68,68.0,2.0,2.0,5
3,5,0.5187827064349908,9133.594349893585,8.930434240332861,0.4717503126366747,0.0007661154913802722,23,28.2,67,67.0,2.9130434782608696,2.4180026350461135,5
3,6,0.5187827064349908,7096.8347521252535,0.13769654636209164,0.4286345466572,0.00023710741450219135,20,20.0,50,50.0,2.5,2.5,5
3,7,0.5187827064349908,5934.224002187351,16.70809695752749,0.4308026782062105,0.0010343847407841963,13,13.0,50,50.0,3.8461538461538463,3.846153846153846,5
3,8,0.5187827064349908,5244.489452423348,44.06349442065462,0.3884919700780497,0.007170835019194397,13,13.8,40,38.8,3.076923076923077,2.839819004524887,5
3,9,0.5187827064349908,4722.592923996393,37.92514604436498,0.3631276167902949,0.007337315590157357,9,10.8,40,33.4,3.6363636363636362,3.1156565656565656,5
4,2,0.5622474675502339,33603.47092427231,0.0,0.5306416341183697,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
4,3,0.5622474675502339,22821.03042055501,0.0,0.5130769241534342,0.0,34,34.0,102,102.0,3.0,3.0,5
4,4,0.5622474675502339,16848.650434824736,0.0,0.432097593987603,0.0,34,34.0,67,67.0,1.9705882352941178,1.9705882352941178,5
4,5,0.5622474675502339,12397.960690756465,5.663674667089985,0.43164194387495175,0.002880339898859603,24,24.0,66,62.4,2.75,2.6,5
4,6,0.5622474675502339,10039.695941203196,9.562922120126611,0.4115553443887805,0.0016199184498227048,24,24.0,49,48.2,2.0416666666666665,2.0083333333333333,5
4,7,0.5622474675502339,8869.01928480856,9.492292243355587,0.41201596857926204,0.0009972905764417078,13,16.2,49,48.2,3.769230769230769,3.119648772280351,5
4,8,0.5622474675502339,7885.811836844016,15.214742838776905,0.37360848373999145,0.011718611308137533,12,14.8,44,37.2,3.4166666666666665,2.6006882591093117,5
4,9,0.5622474675502339,7009.677350984227,40.60755068382344,0.367221911266239,0.012716929757083923,11,12.2,39,37.0,3.5454545454545454,3.0966666666666667,5
5,2,0.598706412791446,38743.53989708403,0.0,0.4962161766447187,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
5,3,0.598706412791446,27943.2349848966,0.0,0.4691749334274301,0.0,34,34.0,102,102.0,3.0,3.0,5
5,4,0.598706412791446,21970.877999072276,2.149428530498026,0.3786741579231233,0.0017834333221645562,34,35.2,67,65.8,1.9705882352941178,1.8715686274509804,5
5,5,0.598706412791446,17245.503328165847,0.7220871787470191,0.3736903056519371,0.0006177458022692772,25,25.2,58,58.0,2.32,2.302153846153846,5
5,6,0.598706412791446,14670.938745091753,1.770988591312753,0.3592774181057485,0.0008450485061946738,25,25.2,50,49.0,2.0,1.9455384615384617,5
5,7,0.598706412791446,13151.997599096125,46.10755368539653,0.32801515561501793,0.004165773566821263,16,22.4,42,40.4,2.5,1.85,5
5,8,0.598706412791446,12013.98879765323,47.31610283457076,0.3224485676067956,0.004785137461169181,8,14.8,41,36.6,4.75,3.0077777777777777,5
5,9,0.598706412791446,10960.158654602332,73.10436240734815,0.313526935648257,0.007234482776013778,7,11.6,40,35.6,5.714285714285714,3.5224025974025976,5
6,2,0.6315518486850143,43374.71622537149,0.0,0.46790430279825684,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
6,3,0.6315518486850143,32441.014598647005,0.0,0.436448235626277,0.0,36,36.0,102,102.0,2.8333333333333335,2.8333333333333335,5
6,4,0.6315518486850143,26328.488059286796,0.0,0.34253730351806083,0.0,36,36.0,65,65.0,1.8055555555555556,1.8055555555555558,5
6,5,0.6315518486850143,21518.785391949037,7.588900050940442,0.33621227529942155,0.0008661340944515042,25,25.4,57,57.0,2.28,2.244923076923077,5
6,6,0.6315518486850143,18334.972599316407,4.439449367885761,0.3424921406652564,0.0006609665940769916,25,25.2,49,47.6,1.96,1.8895384615384614,5
