pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette
2,2,0.8026411341971057,2168.4307324194765,0.9440806122037835
2,3,0.8026411341971057,142.88205540632902,0.901328913514291
2,4,0.8026411341971057,57.35120140289141,0.6855593927439074
2,5,0.8026411341971057,33.50421182191643,0.5639481971625822
2,6,0.8026411341971057,24.84712269185456,0.5661242185190773
2,7,0.8026411341971057,18.66127352700472,0.5174151161261944
2,8,0.8026411341971057,14.929171120011565,0.49597801510047856
2,9,0.8026411341971057,12.466823547839216,0.4693701805172978
3,2,0.8594206910574123,2510.2458841872017,0.9351464464173803
3,3,0.8594206910574123,476.8902483536161,0.8448155974150746
3,4,0.8594206910574123,230.8559279403067,0.7317175726886231
3,5,0.8594206910574123,141.69711015105335,0.5824062633854727
3,6,0.8594206910574123,79.60101940059138,0.5434869060720805
3,7,0.8594206910574123,58.29359643920351,0.5032350115414242
3,8,0.8594206910574123,41.008097066105464,0.5191195120597415
3,9,0.8594206910574123,33.262676342733606,0.49349490563247106
4,2,0.8910167235700529,2703.746955195145,0.9278798622219714
4,3,0.8910167235700529,670.3777801451707,0.7954250033745355
4,4,0.8910167235700529,422.2208180038715,0.6526620285981166
4,5,0.8910167235700529,265.2359225931817,0.5065408625972873
4,6,0.8910167235700529,179.73787727230825,0.5303931318178495
4,7,0.8910167235700529,141.12613955069554,0.5261647712244732
4,8,0.8910167235700529,110.70623775448003,0.5313236409245596
4,9,0.8910167235700529,90.27731852558537,0.46999969812847436
5,2,0.904162777772418,2784.1891879996388,0.9263399054790359
5,3,0.904162777772418,750.6461924993771,0.7860092311576137
5,4,0.904162777772418,496.57766583580286,0.6442783927811266
5,5,0.904162777772418,341.3976641974736,0.4992319767177361
5,6,0.904162777772418,209.47738009873083,0.5133016494888242
5,7,0.904162777772418,164.27387011340733,0.5149290318288415
5,8,0.904162777772418,133.08872963186394,0.5122092109278733
5,9,0.904162777772418,112.83752234495368,0.45839963194730754
6,2,0.9143526765329064,2846.593699990112,0.9253851996140018
6,3,0.9143526765329064,812.8750055014467,0.7806746890554566
6,4,0.9143526765329064,558.7564925765566,0.6467119950594394
6,5,0.9143526765329064,402.52830977719964,0.48714600961544985
6,6,0.9143526765329064,267.9778690424746,0.49892704248759284
