pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run,random_state
2,2,0.3622572545293913,2284.232831029401,0.5297701511828922,1,42
2,3,0.3622572545293913,1263.8725517303888,0.5422897037178036,1,42
2,4,0.3622572545293913,821.466247912738,0.510379058063041,1,42
2,5,0.3622572545293913,590.2818162722655,0.49261949760071627,1,42
2,6,0.3622572545293913,501.9138887509807,0.4303861198088761,1,42
2,7,0.3622572545293913,415.75523163483484,0.4111332962422345,1,42
2,8,0.3622572545293913,364.67183302399826,0.42270549049805467,1,42
2,9,0.3622572545293913,328.6485638026188,0.40581013607929123,1,42
3,2,0.42979904222237936,3252.9177249866407,0.44194367285578373,1,42
3,3,0.42979904222237936,2217.207959722293,0.4404547028569011,1,42
3,4,0.42979904222237936,1716.1556865579564,0.3846901955679813,1,42
3,5,0.42979904222237936,1445.8327667877702,0.4004492916298307,1,42
3,6,0.42979904222237936,1207.2966122150356,0.37507955473972016,1,42
3,7,0.42979904222237936,1015.0877290857268,0.38980548773960644,1,42
3,8,0.42979904222237936,930.0418165570168,0.37431082269754895,1,42
3,9,0.42979904222237936,856.4317392205307,0.3295756805845983,1,42
4,2,0.4888329902826383,4097.117648537839,0.3874772563131036,1,42
4,3,0.4888329902826383,3033.4321206929158,0.3764132824935881,1,42
4,4,0.4888329902826383,2463.957273166075,0.3271452229031054,1,42
4,5,0.4888329902826383,2132.682109511895,0.3341009062257642,1,42
4,6,0.4888329902826383,1919.7576465800862,0.2916378445552958,1,42
4,7,0.4888329902826383,1700.355644796427,0.3048042424776819,1,42
4,8,0.4888329902826383,1498.24464141801,0.3143568434460026,1,42
4,9,0.4888329902826383,1408.4183357486586,0.3072912930149152,1,42
5,2,0.5454754673825496,4894.400949895834,0.35685927257405564,1,42
5,3,0.5454754673825496,3753.5657735970526,0.3514819129132186,1,42
5,4,0.5454754673825496,3012.536901580277,0.326548273035655,1,42
5,5,0.5454754673825496,2610.5472237358063,0.3305022683763756,1,42
5,6,0.5454754673825496,2338.7415137584485,0.3375921201551861,1,42
5,7,0.5454754673825496,2091.293215364041,0.2894697722527021,1,42
5,8,0.5454754673825496,1897.5238385883827,0.2996809753277538,1,42
5,9,0.5454754673825496,1757.374204308695,0.2984756466020586,1,42
6,2,0.5922805414515516,5565.920287920233,0.32669960173135176,1,42
6,3,0.5922805414515516,4419.720924028137,0.3186367356702453,1,42
6,4,0.5922805414515516,3672.269551285053,0.2921912780584722,1,42
6,5,0.5922805414515516,3269.6930243078614,0.29088037607426703,1,42
6,6,0.5922805414515516,2979.942290084181,0.25874920899803505,1,42
6,7,0.5922805414515516,2718.182558505311,0.2650789120833968,1,42
6,8,0.5922805414515516,2503.237832900713,0.2635137865233394,1,42
6,9,0.5922805414515516,2344.245989697202,0.25740534906954826,1,42
7,2,0.6220934984752527,5991.795414590149,0.311216579408853,1,42
7,3,0.6220934984752527,4842.624006657006,0.3000003264801348,1,42
7,4,0.6220934984752527,4072.647057904392,0.2713478492137059,1,42
7,5,0.6220934984752527,3655.8192661371786,0.27305107155504144,1,42
7,6,0.6220934984752527,3361.999667976198,0.27961529631302,1,42
7,7,0.6220934984752527,3074.40993804606,0.2514979848287116,1,42
7,8,0.6220934984752527,2833.314925943824,0.24913264969196927,1,42
7,9,0.6220934984752527,2665.046942965717,0.2429583341899785,1,42
8,2,0.6490271665213296,6377.8608582630295,0.29789217480758223,1,42
8,3,0.6490271665213296,5228.150234481918,0.2852975831261387,1,42
8,4,0.6490271665213296,4458.698400461662,0.25880105564215033,1,42
8,5,0.6490271665213296,4053.465101408746,0.2559433765129499,1,42
8,6,0.6490271665213296,3691.1872223912005,0.2337603703812086,1,42
8,7,0.6490271665213296,3414.864752166918,0.23184449918127112,1,42
8,8,0.6490271665213296,3139.5422819131973,0.2330144589682242,1,42
8,9,0.6490271665213296,2980.601125302788,0.2295940945712413,1,42
10,2,0.6917372782248352,6984.142978505645,0.2807120674570806,1,42
10,3,0.6917372782248352,5834.242916251315,0.26672954031674573,1,42
10,4,0.6917372782248352,5057.687239478517,0.23700191656245562,1,42
10,5,0.6917372782248352,4602.690233661058,0.23719529839974623,1,42
10,6,0.6917372782248352,4274.191765577928,0.2173824706670389,1,42
10,7,0.6917372782248352,3985.3153306620384,0.21880782854962497,1,42
10,8,0.6917372782248352,3694.7970814457726,0.2171221049570646,1,42
10,9,0.6917372782248352,3561.4683642896316,0.2083277111873175,1,42
12,2,0.7228811709982295,7430.652063070982,0.26851286965499077,1,42
12,3,0.7228811709982295,6274.97655132207,0.2529418313149641,1,42
12,4,0.7228811709982295,5493.980392152734,0.2220712048225274,1,42
12,5,0.7228811709982295,5045.129714164932,0.22503441506707933,1,42
12,6,0.7228811709982295,4705.62244636499,0.20393111723635796,1,42
12,7,0.7228811709982295,4422.580754996656,0.2016986485714855,1,42
12,8,0.7228811709982295,4152.992084892582,0.19740729681882935,1,42
12,9,0.7228811709982295,3994.9418931173095,0.18677390500376287,1,42
15,2,0.7604435717250324,7969.241667152301,0.25540689893712526,1,42
15,3,0.7604435717250324,6811.055810470329,0.2364468693228923,1,42
15,4,0.7604435717250324,6023.547475478179,0.20960387280610615,1,42
15,5,0.7604435717250324,5580.456508475208,0.21230318882590574,1,42
15,6,0.7604435717250324,5255.911344080827,0.2081340656260977,1,42
15,7,0.7604435717250324,4926.534109685633,0.1893581335806357,1,42
