pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run
2,2,0.8026411341971054,2168.430732419476,0.9440806122037835,5
2,3,0.8026411341971054,142.8820554063313,0.9013289135142903,5
2,4,0.8026411341971054,57.340657259823736,0.6862000291407575,5
2,5,0.8026411341971054,33.502500163473805,0.5632468398268814,5
2,6,0.8026411341971054,24.847122691854533,0.5661242185190798,5
2,7,0.8026411341971054,18.652609045633657,0.5295615061819035,5
2,8,0.8026411341971054,14.82242255393468,0.4853224284538967,5
2,9,0.8026411341971054,12.472312843444373,0.47307881168735205,5
3,2,0.8594206910574129,2510.245884187125,0.9351464464265711,5
3,3,0.8594206910574129,476.8902483536168,0.8448155978184436,5
3,4,0.8594206910574129,230.85592793937923,0.7317175731073549,5
3,5,0.8594206910574129,141.44391186867517,0.5784081931639861,5
3,6,0.8594206910574129,79.70159334537738,0.5425086911750726,5
3,7,0.8594206910574129,58.37961537303387,0.5002903035715468,5
3,8,0.8594206910574129,41.028677009876624,0.519054053544146,5
3,9,0.8594206910574129,33.26494882940033,0.49357404435422786,5
4,2,0.8910167235700538,2703.7469551951317,0.9278798622221878,5
4,3,0.8910167235700538,670.3777801452027,0.7954250033761284,5
4,4,0.8910167235700538,422.22081800511853,0.6526620285991244,5
4,5,0.8910167235700538,265.14634873951906,0.5070229395506417,5
4,6,0.8910167235700538,181.3062360226857,0.5293447149152748,5
4,7,0.8910167235700538,140.37731633667337,0.5268286261758455,5
4,8,0.8910167235700538,111.57875372813808,0.5326204863683645,5
4,9,0.8910167235700538,90.77441848883261,0.47508528539412365,5
5,2,0.9041627777724234,2784.1891880033,0.926339905506592,5
5,3,0.9041627777724234,750.6461925337252,0.7860092316824128,5
5,4,0.9041627777724234,496.5776629452767,0.6442783987176536,5
5,5,0.9041627777724234,341.39962870692153,0.4997521028390715,5
5,6,0.9041627777724234,209.43584102285772,0.5135148379417015,5
5,7,0.9041627777724234,164.24590489421416,0.514823001245365,5
5,8,0.9041627777724234,132.87701295257506,0.5135873563496922,5
5,9,0.9041627777724234,113.10130849578076,0.4591916467493434,5
6,2,0.9143526765335165,2846.5937000183417,0.9253851992102303,5
6,3,0.9143526765335165,812.8750060698806,0.7806746869157468,5
6,4,0.9143526765335165,558.7564917360644,0.6467120023194601,5
6,5,0.9143526765335165,402.5246850109384,0.48724816516188374,5
6,6,0.9143526765335165,267.7476132317887,0.4994257185480895,5
6,7,0.9143526765335165,202.7529389954416,0.5042841226363864,5
6,8,0.9143526765335165,163.29995303420094,0.4958709794388885,5
6,9,0.9143526765335165,136.814447058996,0.4503453592735188,5
7,2,0.9219276317709102,2892.9803511122436,0.9240114623913862,5
7,3,0.9219276317709102,859.2258899738479,0.7716948750232853,5
7,4,0.9219276317709102,603.9048694073201,0.6463864812455633,5
7,5,0.9219276317709102,447.3258023620706,0.46031308749921984,5
7,6,0.9219276317709102,312.69421754182986,0.46986532326301544,5
7,7,0.9219276317709102,244.24238079573053,0.4773038406912574,5
7,8,0.9219276317709102,202.75532919385938,0.46750042825837923,5
7,9,0.9219276317709102,177.76536922874575,0.41541071321591866,5
8,2,0.9282453148663735,2931.6718764783636,0.9231867818331613,5
8,3,0.9282453148663735,897.8462041544336,0.7666789755573536,5
8,4,0.9282453148663735,642.3454045604167,0.6366863115543384,5
8,5,0.9282453148663735,484.950251237008,0.4498294999036553,5
8,6,0.9282453148663735,350.2826861250195,0.4576088490998783,5
8,7,0.9282453148663735,281.6655047965946,0.4654347709969792,5
8,8,0.9282453148663735,235.78972046296548,0.455574481191777,5
8,9,0.9282453148663735,203.02319501740075,0.4687807513662862,5
10,2,0.9388883228891025,2996.8510669636107,0.9216527816324138,5
10,3,0.9388883228891025,962.949109184133,0.7571547369863377,5
10,4,0.9388883228891025,706.7423462764001,0.6332592948321458,5
10,5,0.9388883228891025,549.4373117954225,0.42721815734140217,5
10,6,0.9388883228891025,411.89407224928544,0.43364354874172373,5
10,7,0.9388883228891025,344.50799068550305,0.44122876855512294,5
10,8,0.9388883228891025,296.0387239886362,0.44579910636198844,5
10,9,0.9388883228891025,260.07503698333926,0.4418022839692962,5
12,2,0.9468166731871256,3045.4033481897986,0.9205567808863334,5
12,3,0.9468166731871256,1011.4930206645892,0.7504142905636365,5
12,4,0.9468166731871256,754.9108212590555,0.629666788069171,5
12,5,0.9468166731871256,595.8363429672519,0.40892698939779387,5
12,6,0.9468166731871256,459.9198924939927,0.41733328091795885,5
12,7,0.9468166731871256,392.32945766651955,0.4219874952453321,5
12,8,0.9468166731871256,343.65602437880483,0.41495270612885965,5
12,9,0.9468166731871256,307.219131945691,0.4260156798668906,5
15,2,0.9548091695488523,3094.346517839147,0.9192991750340064,5
15,3,0.9548091695488523,1060.4234083821852,0.7424088257468529,5
15,4,0.9548091695488523,803.4288991145621,0.6255673064308258,5
15,5,0.9548091695488523,645.987026887318,0.3966328119369144,5
