pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run,random_state
2,2,0.45761120239885555,18985.82748950897,0.653076671873961,4,45
2,3,0.45761120239885555,8592.549995266272,0.663274852372222,4,45
2,4,0.45761120239885555,6606.960392165607,0.5211249639446848,4,45
2,5,0.45761120239885555,4898.848868726343,0.483794220500121,4,45
2,6,0.45761120239885555,3595.047294255809,0.4948822367427434,4,45
2,7,0.45761120239885555,3008.340232777514,0.4588022876538148,4,45
2,8,0.45761120239885555,2502.8012122245445,0.4683071125283643,4,45
2,9,0.45761120239885555,2168.7230669157284,0.4547743079488447,4,45
3,2,0.5187827064349908,27483.62767185729,0.5720635104063981,4,45
3,3,0.5187827064349908,16790.71221355462,0.5639015131943091,4,45
3,4,0.5187827064349908,11376.968816549597,0.49140851755379966,4,45
3,5,0.5187827064349908,9127.151431360711,0.4722976932614811,4,45
3,6,0.5187827064349908,7096.694512531439,0.4290305754605176,4,45
3,7,0.5187827064349908,5926.268218599524,0.43134589133606877,4,45
3,8,0.5187827064349908,5214.67809149287,0.39209215024766014,4,45
3,9,0.5187827064349908,4789.026720805541,0.3614370692038156,4,45
4,2,0.5622474675502339,33603.47092427231,0.5306416341183697,4,45
4,3,0.5622474675502339,22821.03042055501,0.5130769241534342,4,45
4,4,0.5622474675502339,16848.650434824736,0.432097593987603,4,45
4,5,0.5622474675502339,12397.98578911674,0.43019302662675124,4,45
4,6,0.5622474675502339,10035.864317713464,0.4129644950663011,4,45
4,7,0.5622474675502339,8874.02599068753,0.4112238287356988,4,45
4,8,0.5622474675502339,7877.837801215884,0.3689844876493885,4,45
4,9,0.5622474675502339,6992.88561768281,0.3752792540904885,4,45
5,2,0.598706412791446,38743.53989708403,0.4962161766447187,4,45
5,3,0.598706412791446,27943.234984896597,0.46917493342743016,4,45
5,4,0.598706412791446,21970.071236298536,0.37683468074022264,4,45
5,5,0.598706412791446,17245.403849734626,0.3728014179623223,4,45
5,6,0.598706412791446,14669.748663433114,0.3585469663056821,4,45
5,7,0.598706412791446,13110.61117150739,0.3254358060314689,4,45
5,8,0.598706412791446,11958.970292262162,0.3190911603995052,4,45
5,9,0.598706412791446,10989.73684330885,0.30388500230043,4,45
6,2,0.6315518486850143,43374.71622537149,0.46790430279825684,4,45
6,3,0.6315518486850143,32441.014598647,0.436448235626277,4,45
6,4,0.6315518486850143,26328.488059286796,0.34253730351806083,4,45
6,5,0.6315518486850143,21513.79475949861,0.3358866489659636,4,45
6,6,0.6315518486850143,18338.521808802463,0.3433861642830767,4,45
6,7,0.6315518486850143,16564.783215807194,0.31918769407711506,4,45
6,8,0.6315518486850143,15127.343407097831,0.3212182833131272,4,45
6,9,0.6315518486850143,14131.510289141734,0.2769178945132667,4,45
7,2,0.6583129599827003,47147.50311684,0.44707423383271655,4,45
7,3,0.6583129599827003,36115.13208642911,0.41285341993138164,4,45
7,4,0.6583129599827003,29641.726610721398,0.33468830120843085,4,45
7,5,0.6583129599827003,24827.530842981367,0.32674548343397497,4,45
7,6,0.6583129599827003,21376.90210008203,0.32160789977713594,4,45
7,7,0.6583129599827003,19534.299814164086,0.30525656259550144,4,45
7,8,0.6583129599827003,17784.673161365514,0.3084224632558971,4,45
7,9,0.6583129599827003,16583.38016408814,0.287701256808202,4,45
8,2,0.6798344860630245,50172.60684295553,0.43241273091041826,4,45
8,3,0.6798344860630245,39140.230283755554,0.3951125576214253,4,45
8,4,0.6798344860630245,32642.740999882713,0.3180390762963605,4,45
8,5,0.6798344860630245,27843.85970057769,0.30870719356414,4,45
8,6,0.6798344860630245,24259.343440297474,0.30252857425065954,4,45
8,7,0.6798344860630245,22150.47413486116,0.28941892128739394,4,45
8,8,0.6798344860630245,20373.898903063295,0.2830396417397198,4,45
8,9,0.6798344860630245,19040.66813853271,0.2827215592666067,4,45
10,2,0.7182515077808507,55582.05999669722,0.40964712348463167,4,45
10,3,0.7182515077808507,44472.072546367635,0.37040775422211686,4,45
10,4,0.7182515077808507,37975.74507493069,0.2928682098660079,4,45
10,5,0.7182515077808507,33247.31614969886,0.27825708230738094,4,45
10,6,0.7182515077808507,29571.420591553364,0.2719010928482437,4,45
10,7,0.7182515077808507,27370.929472480057,0.2716156430679027,4,45
10,8,0.7182515077808507,25590.450288485285,0.24270346030046466,4,45
10,9,0.7182515077808507,23454.851421630443,0.25943374963432686,4,45
12,2,0.7481380751372365,59787.63508706702,0.3932835491450345,4,45
12,3,0.7481380751372365,48657.00708844909,0.354982268623162,4,45
12,4,0.7481380751372365,42468.18801420258,0.25844554857248553,4,45
12,5,0.7481380751372365,37392.51277817042,0.25818210812763154,4,45
12,6,0.7481380751372365,33722.60635612076,0.24676330808173003,4,45
12,7,0.7481380751372365,31484.192801900732,0.24919863693751448,4,45
12,8,0.7481380751372365,29241.77344994879,0.23480039178226894,4,45
12,9,0.7481380751372365,27509.77323943677,0.2337465598327774,4,45
15,2,0.7829350262865861,64687.913138979675,0.37493890629701965,4,45
15,3,0.7829350262865861,53556.568120932854,0.33353019676860696,4,45
15,4,0.7829350262865861,47029.49943261712,0.25662858450539283,4,45
15,5,0.7829350262865861,42211.199308115225,0.2401033237005699,4,45
15,6,0.7829350262865861,38535.588692955556,0.22690030426626376,4,45
15,7,0.7829350262865861,36446.636991945496,0.20398806541104456,4,45
15,8,0.7829350262865861,33927.922623479826,0.2176677774142398,4,45
