pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run,random_state
2,2,0.7983775695363493,421.3128641000291,0.9701654337644179,1,42
2,3,0.7983775695363493,205.01568695221675,0.6991231749635783,1,42
2,4,0.7983775695363493,118.67678713062548,0.6032016258924231,1,42
2,5,0.7983775695363493,57.142657020677305,0.5238581582635127,1,42
2,6,0.7983775695363493,32.071608121692265,0.5399696792392914,1,42
2,7,0.7983775695363493,21.475646855010968,0.5412706528441322,1,42
2,8,0.7983775695363493,15.055371816376798,0.5076862967443533,1,42
2,9,0.7983775695363493,11.374369427268839,0.4928067597523125,1,42
3,2,0.8463318414782619,623.9573167568484,0.960253706454375,1,42
3,3,0.8463318414782619,403.05470934859784,0.5568575790132755,1,42
3,4,0.8463318414782619,225.00153469606173,0.475902759454486,1,42
3,5,0.8463318414782619,143.5996093965244,0.5020929809597594,1,42
3,6,0.8463318414782619,109.6614414769385,0.49098725109034247,1,42
3,7,0.8463318414782619,86.44700394457035,0.4755828860570551,1,42
3,8,0.8463318414782619,67.7472246791941,0.43100560424184875,1,42
3,9,0.8463318414782619,55.750716770646996,0.40372988275814686,1,42
4,2,0.8649349103106689,702.5180370882023,0.9578643133401521,1,42
4,3,0.8649349103106689,473.82184703742416,0.5605719279861361,1,42
4,4,0.8649349103106689,303.27258609018725,0.4363952818731728,1,42
4,5,0.8649349103106689,178.6973305738283,0.47044364577002096,1,42
4,6,0.8649349103106689,141.0269960114825,0.4670444331259464,1,42
4,7,0.8649349103106689,115.16312323415336,0.44492706546417227,1,42
4,8,0.8649349103106689,95.73822947611541,0.39666891026461526,1,42
4,9,0.8649349103106689,80.28150924399887,0.3766745221417041,1,42
5,2,0.8809703412633876,770.2817552491032,0.956577638777676,1,42
5,3,0.8809703412633876,541.0387367574497,0.5555960284001326,1,42
5,4,0.8809703412633876,367.1137903958933,0.41188539247854195,1,42
5,5,0.8809703412633876,234.57124090845053,0.4482047658632822,1,42
5,6,0.8809703412633876,174.09721158223084,0.45546086846466943,1,42
5,7,0.8809703412633876,143.20774871245604,0.42222095454725284,1,42
5,8,0.8809703412633876,121.02930047936127,0.352086385659221,1,42
