pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,runs
2,2,0.37349145909455567,283.50039420567225,0.0,0.5279402553186235,0.0,5
2,3,0.37349145909455567,171.27823367455167,0.009065265626402547,0.48886883680502236,0.0010512708463877476,5
2,4,0.37349145909455567,124.94671889764837,0.0,0.436758060481094,0.0,5
2,5,0.37349145909455567,103.83773247831282,0.3941700773973674,0.37448971540165843,0.002173893434970971,5
2,6,0.37349145909455567,88.13478568471723,0.35091241678148455,0.3531684076473417,0.0033376305209309206,5
2,7,0.37349145909455567,75.27287294999982,0.4223597172961928,0.36003609550325016,0.0036115542185774442,5
2,8,0.37349145909455567,62.95565119429087,0.18129084915257107,0.3758793256138235,0.0030146967029056836,5
2,9,0.37349145909455567,56.66600708780091,0.3110124930897179,0.3706102167395816,0.0072830051573277285,5
3,2,0.4519188895869967,429.74235973786983,0.0,0.44741593327843326,0.0,5
3,3,0.4519188895869967,314.5752555672688,0.0,0.3967779966110411,0.0,5
3,4,0.4519188895869967,250.9711208916181,0.021056520917824017,0.33847481274584823,0.0006598644919631584,5
3,5,0.4519188895869967,206.42904272722453,0.07319189799647198,0.31847858851714184,0.0012031679311852192,5
3,6,0.4519188895869967,176.47211488297089,0.08143841548232161,0.32451887475155256,0.0009107582260735285,5
3,7,0.4519188895869967,158.41978910458278,0.2626593635147449,0.3130578566894304,0.0011609446823702158,5
3,8,0.4519188895869967,143.72392824774093,1.1889447839233234,0.3145968046706858,0.005319471365032638,5
3,9,0.4519188895869967,132.87783407910803,0.9342136070793801,0.30992251313089875,0.004357576426509674,5
4,2,0.5041624708604503,530.6570215221616,0.0,0.4013491542874864,0.0,5
4,3,0.5041624708604503,415.4625262291731,0.0006035034187515339,0.3432830482942064,9.135324672425465e-05,5
4,4,0.5041624708604503,351.85082061348953,0.15538586729680554,0.2772576571556231,6.219389599179087e-05,5
4,5,0.5041624708604503,306.2040497985063,0.07463119307774672,0.2610028258486163,0.0001144864390981588,5
4,6,0.5041624708604503,276.4120938167137,0.7270511654592371,0.2601149965962871,0.006499448173633992,5
4,7,0.5041624708604503,255.72699940013712,0.8424008517583459,0.24319914252065397,0.004510319794249173,5
4,8,0.5041624708604503,236.2520387336827,2.4974064953478816,0.24451665372918896,0.0057496253605621205,5
4,9,0.5041624708604503,221.87140571387266,1.224087583214975,0.23322027510551205,0.009346929843287279,5
5,2,0.5489161514380522,615.2840914636604,0.0,0.3751712496400987,0.0,5
5,3,0.5489161514380522,491.354227833113,0.0,0.3246673225278117,0.0,5
5,4,0.5489161514380522,417.7031486111785,0.20432519873537267,0.2666877198763326,0.0025948130350226207,5
5,5,0.5489161514380522,367.30373997669454,0.050456923166810205,0.2519106170124129,0.0009612020929850168,5
5,6,0.5489161514380522,325.780098366557,0.9049905583839875,0.25319155485052536,0.0016115506751569354,5
5,7,0.5489161514380522,303.6382718649492,1.3758533924055913,0.25447031014888966,0.008222670056971965,5
5,8,0.5489161514380522,282.8549082359639,1.3530385491681771,0.23083628916904514,0.008239131046928715,5
5,9,0.5489161514380522,267.70262359896407,1.5823041139755212,0.2298903892872773,0.005237119182952687,5
6,2,0.5861079273894567,684.800775555645,0.0,0.35607142367440525,0.0,5
6,3,0.5861079273894567,560.5900256578125,0.0,0.3010571439421816,0.0,5
6,4,0.5861079273894567,483.00892950331854,0.08700229418849151,0.24914479434291187,0.0028858737426771227,5
6,5,0.5861079273894567,429.44168045015556,0.6476784236179273,0.23066056291642237,0.0035910596997199037,5
6,6,0.5861079273894567,381.4283995323466,0.5593007324853091,0.24073283249831814,0.003608522092636481,5
6,7,0.5861079273894567,355.61562244010054,2.613319604552635,0.22941197474618763,0.00777971955743557,5
6,8,0.5861079273894567,335.372674020596,1.549006120508752,0.2158915884205507,0.00959981075037314,5
6,9,0.5861079273894567,315.7308371017729,1.476398133021169,0.21873660390561037,0.009647800792253794,5
7,2,0.6183811784300848,747.2250390682602,0.08450152445565053,0.33745519272575997,7.420959854421787e-05,5
7,3,0.6183811784300848,622.8993477166115,0.02669104655842701,0.2799788823897045,0.00030790437780623466,5
7,4,0.6183811784300848,545.1473509296636,0.11202731229747184,0.2272740423065133,0.003298871129270779,5
7,5,0.6183811784300848,491.6647300061442,0.32125664193599107,0.2130540297875673,0.0037328975229986108,5
7,6,0.6183811784300848,440.74640650981036,0.3828059979596007,0.21870939493954528,0.0034921142205763017,5
7,7,0.6183811784300848,415.8148531533964,2.4504385578731838,0.20675117983434127,0.006410235559391358,5
7,8,0.6183811784300848,391.03672549282146,2.102070501904423,0.1945151424868728,0.014428925055187253,5
7,9,0.6183811784300848,370.50501368453433,1.206027655564265,0.19195977337623224,0.006036742589958508,5
8,2,0.6422928733983052,792.9418545016199,0.0,0.3255953950103842,0.0,5
8,3,0.6422928733983052,667.2978042187545,0.06925243712044932,0.2720971781613713,0.001644297330379931,5
8,4,0.6422928733983052,589.0580085039034,0.20573481029652366,0.21597497680010708,0.0036698784068726425,5
8,5,0.6422928733983052,533.8076595578782,0.17676023652641337,0.2210871139990535,0.013333310067572423,5
8,6,0.6422928733983052,480.9353361564443,1.8608040662879175,0.21005176806287257,0.0017933744485222102,5
8,7,0.6422928733983052,452.3420393228069,0.2932771748404572,0.19847866766298222,0.0017248208798362307,5
8,8,0.6422928733983052,429.7865718222515,3.262242937023244,0.18992822898760447,0.006941752519893363,5
8,9,0.6422928733983052,407.6191855178887,1.3196868588184982,0.1948352741704961,0.009135525813977577,5
10,2,0.6862749787228342,877.7922238625455,0.05568553253816549,0.305709019138985,0.00011327781502717817,5
10,3,0.6862749787228342,751.2720881141747,0.0,0.24712249995738717,0.0,5
10,4,0.6862749787228342,671.7889550402575,0.9673354056619046,0.19711285244442095,0.0017939245667189124,5
10,5,0.6862749787228342,614.5814202891745,0.49354999449928155,0.20550334699595812,0.0021625532799122863,5
10,6,0.6862749787228342,564.2034856718758,11.291832152380556,0.1868142868720662,0.013631210381589097,5
10,7,0.6862749787228342,530.5468767421299,1.3769972407112594,0.1827913879873092,0.003894543225075088,5
10,8,0.6862749787228342,503.7595714426021,0.46692323794996277,0.17374062667838872,0.00612085878067803,5
10,9,0.6862749787228342,480.5331965752278,2.9127478513891343,0.1692216164721886,0.00770575354690652,5
12,2,0.7204091913560627,943.5404579157927,0.05623605122553953,0.2915600250530603,0.00020949456498985285,5
12,3,0.7204091913560627,816.3324251460276,0.08833414792851639,0.23298758300546166,0.00041707206428786946,5
12,4,0.7204091913560627,733.9069629935819,0.48865158371192846,0.18807337190099288,0.00250215085876685,5
12,5,0.7204091913560627,678.6473464740841,0.7193678385505672,0.1771381512312577,0.010515438400169674,5
12,6,0.7204091913560627,621.7501304383898,0.8428562562310277,0.1789994732960838,0.001414065332447184,5
12,7,0.7204091913560627,592.5118385683846,0.6817735721652168,0.16883096869170794,0.002763817026471217,5
12,8,0.7204091913560627,565.3963864663763,2.00483150618318,0.1650467183714697,0.007493439159607836,5
12,9,0.7204091913560627,541.5222708111937,2.4367808010459324,0.15697341638728451,0.0078073573992199444,5
15,2,0.7582999481073527,1016.6979443071972,0.04993264600152821,0.27719685641603015,7.905936200386188e-05,5
15,3,0.7582999481073527,889.3549599074311,0.13095969078422054,0.21623245582765147,0.0002164689364403667,5
15,4,0.7582999481073527,806.7349073624466,0.8113048542164741,0.17836843177531297,0.002626921676129105,5
15,5,0.7582999481073527,749.0202908971442,0.6294284555973163,0.16910170462319762,0.007901323863928495,5
15,6,0.7582999481073527,692.673005422857,2.4185200328666747,0.16755193398984514,0.0022401010350395468,5
15,7,0.7582999481073527,662.6163460308071,1.3818640950114311,0.16039307352783982,0.0024436875031559374,5
15,8,0.7582999481073527,634.7033428659332,2.000311800241276,0.15689011933090738,0.004429897957319495,5
15,9,0.7582999481073527,608.1668348825668,1.5886997672628607,0.15164425278258623,0.006710623449550245,5
18,2,0.788183777712912,1074.4280939742425,0.06063210992300604,0.2670815212617408,9.203339524132956e-05,5
18,3,0.788183777712912,946.8106003316112,0.25587854090475715,0.2056024977625678,0.00046315017728773886,5
18,4,0.788183777712912,863.8814306324842,0.36538595203351987,0.168999211408484,0.0023073331015199686,5
18,5,0.788183777712912,805.8623021657385,0.9062656686929299,0.15718799337382583,0.008130608644665069,5
18,6,0.788183777712912,748.6230995810512,0.5182798336342591,0.15875484484439656,0.0014888198851226843,5
18,7,0.788183777712912,718.3358383180448,1.4402942752691257,0.1483201209957441,0.00270864966895682,5
18,8,0.788183777712912,690.3728678882641,3.128183589518649,0.14771318888510637,0.004459992902483281,5
18,9,0.788183777712912,665.8207579657881,1.7233716745982122,0.1377574500379773,0.004872494922897301,5
20,2,0.8047869044722382,1106.4972484011196,0.04857048140542671,0.26166898613191253,9.234981658621059e-05,5
20,3,0.8047869044722382,978.6981422177294,0.08274334007578138,0.2004424876152621,0.0005480643690588613,5
20,4,0.8047869044722382,895.9357886644286,0.6087024597287184,0.16301704623030766,0.0032281620003619883,5
20,5,0.8047869044722382,837.3358433451555,0.7615214050087853,0.15756157963706563,0.007695252852072962,5
20,6,0.8047869044722382,780.0325582897759,1.2845211301979926,0.15390499431524815,0.00224683055377279,5
20,7,0.8047869044722382,749.4808702593933,1.3062965691235373,0.14244395561994178,0.004328729688862225,5
20,8,0.8047869044722382,720.5959355031684,2.4047180540588564,0.14328002557670824,0.004860773164027193,5
20,9,0.8047869044722382,695.468990837536,2.118274517819614,0.1352168373150771,0.006018605747690878,5
25,2,0.8369632043241971,1168.6070708323723,0.07394551642812322,0.2518921955968144,5.9202091672217574e-05,5
25,3,0.8369632043241971,1040.6185502189783,0.0,0.19057927709955652,0.0,5
25,4,0.8369632043241971,958.1837703771849,0.47090570386388664,0.15502164701418156,0.003226087843458199,5
25,5,0.8369632043241971,899.1202039391104,0.8309400506779698,0.1506865618188385,0.004587973766714107,5
25,6,0.8369632043241971,840.9490106975284,1.0775226903831587,0.14540531832341883,0.0015578714792477725,5
25,7,0.8369632043241971,812.2398411812916,3.43612318338844,0.13195716489033235,0.0034185535851738304,5
25,8,0.8369632043241971,782.6745475505666,2.2556141277881756,0.12807319470139084,0.006518747827250348,5
25,9,0.8369632043241971,753.5709261611142,2.983818015890093,0.12958565217457746,0.0042364828302106205,5
30,2,0.8624742306962867,1217.8575554610818,0.05936289964829589,0.24458342635226846,4.7341291767229544e-05,5
30,3,0.8624742306962867,1089.9266963087691,0.25447802891522453,0.1829991021186081,0.0005478851631863439,5
30,4,0.8624742306962867,1006.9062277035998,0.31739995094567125,0.1542347989253635,0.00480578002666018,5
30,5,0.8624742306962867,948.5717690519881,0.9770752693966231,0.13888861992915497,0.0072752783781659044,5
30,6,0.8624742306962867,888.9562006244907,0.6486793496176351,0.1376101045445543,0.0016555708784116642,5
30,7,0.8624742306962867,859.3749062555622,3.273169534209153,0.12915579078208556,0.0031369279962671004,5
30,8,0.8624742306962867,829.4523273001081,1.1302441026957468,0.12576871609286894,0.002485566335303016,5
30,9,0.8624742306962867,802.9400043281458,3.82245558307436,0.11949754206536037,0.005183109247208493,5
