pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,runs
2,2,0.3383158796514987,2596.6031117901757,0.0,0.536994090130785,0.0,5
2,3,0.3383158796514987,1655.7306984435631,0.35948494790473423,0.4925874494269708,7.15393206211344e-05,5
2,4,0.3383158796514987,1096.1162040836384,0.5610707484391798,0.4556548480242609,0.002360291271585625,5
2,5,0.3383158796514987,897.7258946463392,2.133188259156469,0.41309423693133035,0.0038508628675073646,5
2,6,0.3383158796514987,744.9505427294514,0.8989183650267083,0.3817568274614185,0.0010224657746036058,5
2,7,0.3383158796514987,631.8095380392666,1.0179606129827719,0.389287038228275,0.0027110109814974795,5
2,8,0.3383158796514987,547.6143797061742,2.5318255114710877,0.3762622318815548,0.00662434791626088,5
2,9,0.3383158796514987,491.4279043239723,2.026591353698299,0.36787053833520317,0.0044999797917905544,5
3,2,0.4030675216150633,3882.425979724166,0.062034536623891204,0.4483950902908013,0.00014594160180224843,5
3,3,0.4030675216150633,2921.372070187928,0.26927924971506895,0.38768086944995106,0.00018418432282581496,5
3,4,0.4030675216150633,2359.5078686374304,1.0072024970569,0.3272239555106381,0.0009206802329201607,5
3,5,0.4030675216150633,1900.410130694382,0.9333764765848586,0.3503629078733401,0.0015108772493022653,5
3,6,0.4030675216150633,1621.1956144767069,0.9229863368744166,0.34792416165852885,0.0014840790457063384,5
3,7,0.4030675216150633,1450.135324202207,3.407578702260529,0.3313928839942892,0.002489819479761171,5
3,8,0.4030675216150633,1309.850032765634,5.510127385530168,0.3082377838406942,0.002424463879704593,5
3,9,0.4030675216150633,1197.1029086779827,4.019000756853328,0.31009749676021325,0.002642410451268648,5
4,2,0.45654267150668904,4863.753331084019,0.0,0.4155802731842324,0.0,5
4,3,0.45654267150668904,3893.3829635808165,0.0793153683296056,0.34865168605289176,0.00022074528801423621,5
4,4,0.45654267150668904,3058.317289284517,0.2862126510406462,0.3080272629624049,9.459121632392266e-05,5
4,5,0.45654267150668904,2609.1054862768856,0.518098509109375,0.32015080592228445,0.0017234202403079786,5
4,6,0.45654267150668904,2267.3165719107737,2.3036027646836468,0.3113971010462871,0.001961955399475517,5
4,7,0.45654267150668904,2016.4116156022042,6.785428906542203,0.3228894048122025,0.0021243339340984353,5
