pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,run
2,2,0.6567979739756211,11.71143775379616,0.8001246498990152,4
2,3,0.6567979739756211,1.3881525968793706,0.8011340217996813,4
2,4,0.6567979739756211,0.8807436371768751,0.6803472351843205,4
2,5,0.6567979739756211,0.5340176673269492,0.62015367694879,4
2,6,0.6567979739756211,0.39866643487873876,0.6023653331850484,4
2,7,0.6567979739756211,0.30104503990979264,0.5366226720825509,4
2,8,0.6567979739756211,0.2648507540286306,0.518100792834362,4
2,9,0.6567979739756211,0.2279305844433711,0.4904537314865004,4
3,2,0.7196331588185736,16.590776986734753,0.7423777253092203,4
3,3,0.7196331588185736,6.037778201924502,0.6435728639423066,4
3,4,0.7196331588185736,4.295531154449015,0.5728756926723164,4
3,5,0.7196331588185736,2.5863345305984313,0.5443583029340942,4
3,6,0.7196331588185736,1.9962127106960443,0.5276612312437795,4
3,7,0.7196331588185736,1.5065089646829648,0.5020297534011631,4
3,8,0.7196331588185736,1.274883388125395,0.5015544886235472,4
3,9,0.7196331588185736,1.1219748558243123,0.4806661944904352,4
4,2,0.7647643783463383,20.102398066660108,0.707325679132334,4
4,3,0.7647643783463383,9.481368773329645,0.5590992780969125,4
4,4,0.7647643783463383,7.556029458840436,0.48929543528221003,4
4,5,0.7647643783463383,5.753966553317842,0.4421786693174132,4
4,6,0.7647643783463383,4.701868111884731,0.4428746492141343,4
4,7,0.7647643783463383,3.763569916971827,0.45065630304983695,4
4,8,0.7647643783463383,3.1911524910987588,0.4557298479730046,4
4,9,0.7647643783463383,2.8056187465481632,0.4519395287304299,4
5,2,0.7997065280273455,22.82202188103638,0.6831866340801707,4
5,3,0.7997065280273455,12.194342994114262,0.5068237424610402,4
5,4,0.7997065280273455,10.178211004157511,0.4345673874801568,4
5,5,0.7997065280273455,8.288288442142656,0.3851388764529251,4
5,6,0.7997065280273455,7.197175736986401,0.3858250148987757,4
5,7,0.7997065280273455,6.256647578922614,0.3792205811746356,4
5,8,0.7997065280273455,5.54842579610656,0.38621434861923126,4
5,9,0.7997065280273455,4.932293950507922,0.3909190195535785,4
6,2,0.8176844207048383,24.22110877532059,0.6719880770416407,4
6,3,0.8176844207048383,13.592017211312044,0.4850989405094248,4
6,4,0.8176844207048383,11.53172460141078,0.4125543653557492,4
6,5,0.8176844207048383,9.640606969939114,0.36494124317911075,4
6,6,0.8176844207048383,8.585746458924666,0.35970367848502965,4
6,7,0.8176844207048383,7.468632320564694,0.36049360663302515,4
6,8,0.8176844207048383,6.902855738273929,0.3549414219977971,4
6,9,0.8176844207048383,6.233478433551989,0.3591866163967484,4
7,2,0.8339282962269322,25.48434581105115,0.6625648835353466,4
7,3,0.8339282962269322,14.852769581434577,0.46866886506615335,4
7,4,0.8339282962269322,12.78172430448062,0.3960783470725648,4
7,5,0.8339282962269322,10.849517262671482,0.3503946767965404,4
7,6,0.8339282962269322,9.62211725547971,0.3508492012588343,4
7,7,0.8339282962269322,8.553651802187279,0.3447942731955556,4
7,8,0.8339282962269322,7.920971047218559,0.34317210220626715,4
7,9,0.8339282962269322,7.298880989451312,0.3439311193653288,4
8,2,0.8481318952597863,26.589782738602356,0.654574212922984,4
8,3,0.8481318952597863,15.957318512700056,0.45511784944648953,4
8,4,0.8481318952597863,13.885940732262192,0.3829563179277374,4
8,5,0.8481318952597863,11.937221732798886,0.33708185923697487,4
8,6,0.8481318952597863,10.654520550580441,0.3342139771422171,4
8,7,0.8481318952597863,9.672447621346942,0.32571606481026905,4
8,8,0.8481318952597863,8.91359955889664,0.3329347416870124,4
8,9,0.8481318952597863,8.270994599359211,0.3299220271603311,4
