pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,runs
2,2,0.45824173753608977,7.144004198245666,0.0,0.5559692911494287,0.0,5
2,3,0.45824173753608977,4.532005889631941,0.0,0.5253181789375895,0.0,5
2,4,0.45824173753608977,2.408192083487155,0.0,0.5239711491136594,0.0,5
2,5,0.45824173753608977,1.7537195391865137,0.00054227970692591,0.514648067189999,0.0006153671361636806,5
2,6,0.45824173753608977,1.2183579638898514,0.00026490460887236095,0.500578748146692,0.0006450165979623192,5
2,7,0.45824173753608977,1.0198542805720134,0.001942796129455854,0.47632131933656013,0.0026547233576783118,5
2,8,0.45824173753608977,0.8598682306763422,0.0031296217587396553,0.4529755556282473,0.0039633354774409055,5
2,9,0.45824173753608977,0.7329124532622903,0.0031582061907376286,0.45538004606599747,0.003765327215416005,5
3,2,0.5398409003685483,10.1977280440563,0.0,0.4628716319767091,0.0,5
3,3,0.5398409003685483,7.468200992601785,0.0,0.41951955325726403,0.0,5
3,4,0.5398409003685483,5.326346562312393,0.0,0.3924790608636572,0.0,5
3,5,0.5398409003685483,4.519956150470656,0.006706199847789151,0.3785475074496442,0.002688500708338967,5
3,6,0.5398409003685483,3.9059281783120063,0.003521733092759333,0.3599805134653101,0.017775533475243296,5
3,7,0.5398409003685483,3.316565519995416,0.030384645609247467,0.34816702247949516,0.003068944320245976,5
3,8,0.5398409003685483,2.7675293079172674,0.002108504821694157,0.36497922532163585,0.001338216779286648,5
3,9,0.5398409003685483,2.5226358848160224,0.021159780350500368,0.35693859634710395,0.002050262235140963,5
4,2,0.5969607205625309,12.343590657735174,0.0,0.41388154022284784,0.0,5
4,3,0.5969607205625309,9.606462799906186,0.0,0.36418620466539237,0.0,5
4,4,0.5969607205625309,7.463971066328109,0.00014002707692108423,0.32795847625201474,7.112913466848538e-05,5
4,5,0.5969607205625309,6.57769161815496,0.0044714821376177745,0.30877251769833636,0.001163883567306163,5
4,6,0.5969607205625309,5.825866534204325,0.019367254646055248,0.2885809396394151,0.001980587579603877,5
4,7,0.5969607205625309,5.2119527722209895,0.01768889042015546,0.2851008749267253,0.003819619166703364,5
4,8,0.5969607205625309,4.679193488902318,0.03634544642016364,0.28541023971185064,0.004514410548711878,5
4,9,0.5969607205625309,4.244338950576749,0.019479869892881706,0.29337487803465745,0.005238733564743565,5
5,2,0.6407776163881933,13.98761366344296,0.0,0.38960826482468003,0.0,5
5,3,0.6407776163881933,11.187700488726541,0.0018354084411701947,0.33783707588739154,0.0007315192820529505,5
5,4,0.6407776163881933,8.911603750799104,0.0022266815611676817,0.30206491824533377,5.8732212601765815e-05,5
