pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.45824173753608977,7.144004198245667,0.5559692911494287,101,102,1.00990099009901,3,44
2,3,0.45824173753608977,4.532005889631941,0.5253181789375895,49,102,2.0816326530612246,3,44
2,4,0.45824173753608977,2.408192083487155,0.5239711491136594,48,54,1.125,3,44
2,5,0.45824173753608977,1.7532465654093148,0.5152799949191883,27,54,2.0,3,44
2,6,0.45824173753608977,1.2181199915191254,0.5011380578861948,26,39,1.5,3,44
2,7,0.45824173753608977,1.0185395195637648,0.4783182201150988,19,39,2.0526315789473686,3,44
2,8,0.45824173753608977,0.8584597384285377,0.45085143582766934,19,30,1.5789473684210527,3,44
2,9,0.45824173753608977,0.7305129792534553,0.45815631482902297,13,30,2.3076923076923075,3,44
3,2,0.5398409003685483,10.1977280440563,0.4628716319767091,101,102,1.00990099009901,3,44
3,3,0.5398409003685483,7.468200992601786,0.41951955325726403,50,102,2.04,3,44
3,4,0.5398409003685483,5.326346562312393,0.3924790608636572,50,51,1.02,3,44
3,5,0.5398409003685483,4.526402407687676,0.3759516977710407,21,51,2.4285714285714284,3,44
3,6,0.5398409003685483,3.9002174286912252,0.34893654207718,18,47,2.611111111111111,3,44
3,7,0.5398409003685483,3.295334488361131,0.3498231077548112,18,42,2.3333333333333335,3,44
3,8,0.5398409003685483,2.7682784197801427,0.3645608648661121,18,40,2.2222222222222223,3,44
3,9,0.5398409003685483,2.512500426163551,0.35779577252949446,15,30,2.0,3,44
4,2,0.5969607205625309,12.343590657735174,0.41388154022284784,101,102,1.00990099009901,3,44
4,3,0.5969607205625309,9.606462799906186,0.36418620466539237,50,102,2.04,3,44
4,4,0.5969607205625309,7.464124458305491,0.3280363943151222,49,52,1.0612244897959184,3,44
4,5,0.5969607205625309,6.58530973642763,0.31076478135542945,22,53,2.409090909090909,3,44
4,6,0.5969607205625309,5.8162929037153095,0.29109675970107335,23,45,1.9565217391304348,3,44
4,7,0.5969607205625309,5.228380641231909,0.2812599732057812,23,37,1.608695652173913,3,44
4,8,0.5969607205625309,4.640772709113477,0.2885134779830186,18,35,1.9444444444444444,3,44
4,9,0.5969607205625309,4.226271279643661,0.2995259043043485,14,33,2.357142857142857,3,44
5,2,0.6407776163881933,13.987613663442959,0.38960826482468003,101,102,1.00990099009901,3,44
5,3,0.6407776163881933,11.190983767159288,0.3365284944141737,50,102,2.04,3,44
5,4,0.6407776163881933,8.911401888207184,0.3021519364379115,49,52,1.0612244897959184,3,44
5,5,0.6407776163881933,7.704318116274832,0.29845296950939654,17,51,3.0,3,44
5,6,0.6407776163881933,6.910633551466633,0.2723566377369984,19,45,2.3684210526315788,3,44
5,7,0.6407776163881933,6.120429353495093,0.27288236025553614,17,41,2.411764705882353,3,44
