experiment,model,parent_total_seconds,fold_0_seconds,fold_1_seconds,fold_2_seconds,fold_3_seconds,fold_4_seconds,mean_fold_seconds,std_fold_seconds
Experiment 1,DenseNet-121,22182.84,4001.644,3713.799,5094.896,4809.668,4558.64,4435.729399999999,509.71586902022176
Experiment 1,MobileNetV2,10670.539,1955.335,1693.631,1456.764,2596.657,2964.423,2133.362,563.5861001550694
Experiment 1,ResNet-50,18670.293,3371.301,4592.102,3037.259,4210.537,3454.621,3733.1639999999998,575.9295567369329
Experiment 2,DenseNet-121,19807.828,2793.802,5077.388,4144.056,3864.276,3920.324,3959.9691999999995,728.4487069509835
Experiment 2,MobileNetV2,8468.53,512.314,1072.332,2465.545,2261.1,2152.117,1692.6816,762.8367448728725
Experiment 2,ResNet-50,9883.366,1888.262,2310.445,1926.426,1935.345,1814.549,1975.0054,173.0452567539487
