experiment,model,fold,validation_selected_fold,series,epoch,loss
Experiment 1,DenseNet-121,0,False,validation,42,0.29753958165556904
Experiment 1,DenseNet-121,0,False,validation,43,0.2925763977248044
Experiment 1,DenseNet-121,0,False,validation,44,0.2926237717536943
Experiment 1,DenseNet-121,1,False,training,1,0.8586171492934227
Experiment 1,DenseNet-121,1,False,training,2,0.6787128029834657
Experiment 1,DenseNet-121,1,False,training,3,0.6107341129155386
Experiment 1,DenseNet-121,1,False,training,4,0.5510082429363614
Experiment 1,DenseNet-121,1,False,training,5,0.5139193825778507
Experiment 1,DenseNet-121,1,False,training,6,0.47253183435116497
Experiment 1,DenseNet-121,1,False,training,7,0.46458137443377856
Experiment 1,DenseNet-121,1,False,training,8,0.40782874254953294
Experiment 1,DenseNet-121,1,False,training,9,0.40069919682684396
Experiment 1,DenseNet-121,1,False,training,10,0.37308989004010246
Experiment 1,DenseNet-121,1,False,training,11,0.3781359234736079
Experiment 1,DenseNet-121,1,False,training,12,0.3532121413875194
Experiment 1,DenseNet-121,1,False,training,13,0.34878972243695033
Experiment 1,DenseNet-121,1,False,training,14,0.3269588821345851
Experiment 1,DenseNet-121,1,False,training,15,0.28974526685973007
Experiment 1,DenseNet-121,1,False,training,16,0.28277503778891905
Experiment 1,DenseNet-121,1,False,training,17,0.3135190230927297
Experiment 1,DenseNet-121,1,False,training,18,0.2525371586726535
Experiment 1,DenseNet-121,1,False,training,19,0.26150211452373434
Experiment 1,DenseNet-121,1,False,training,20,0.23891252580852734
Experiment 1,DenseNet-121,1,False,training,21,0.24833325753431945
Experiment 1,DenseNet-121,1,False,training,22,0.22897711014818578
Experiment 1,DenseNet-121,1,False,training,23,0.24815582732359567
Experiment 1,DenseNet-121,1,False,training,24,0.24877451941193568
Experiment 1,DenseNet-121,1,False,training,25,0.21445337088689917
Experiment 1,DenseNet-121,1,False,training,26,0.21806207489931867
Experiment 1,DenseNet-121,1,False,training,27,0.20113946595007465
Experiment 1,DenseNet-121,1,False,training,28,0.20060280577412673
Experiment 1,DenseNet-121,1,False,training,29,0.20205816857161976
Experiment 1,DenseNet-121,1,False,training,30,0.18942981430639824
Experiment 1,DenseNet-121,1,False,training,31,0.17214669735126553
Experiment 1,DenseNet-121,1,False,training,32,0.19181048883391277
Experiment 1,DenseNet-121,1,False,training,33,0.17853440592686334
Experiment 1,DenseNet-121,1,False,training,34,0.17242528983790958
Experiment 1,DenseNet-121,1,False,training,35,0.17993767240217753
Experiment 1,DenseNet-121,1,False,training,36,0.13095611598830492
